NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
2NK," 9,833.99 "," 135,380.85 "," 566,187.43 "," 845,212.54 "," 29,301.84 "," 104,518.72 "," 680,583.52 "," 138,875.29 "," 43,060.66 "," 35,117.02 ", -   
ACUMEN," 34,451,640.65 "," 26,606,788.42 "," 238,201,976.39 "," 312,206,773.54 "," 12,122,212.52 "," 35,155,776.22 "," 257,066,414.71 "," 60,942,574.07 "," 18,812,003.74 "," 34,106,607.26 "," 49,447,153.99 "
AFYA," 1,597,848,138.59 "," 2,090,257,679.93 "," 13,903,037,655.97 "," 19,966,958,602.88 "," 886,494,738.63 "," 704,394,749.96 "," 15,279,780,532.88 "," 2,448,339,125.91 "," 1,035,520,843.28 "," 2,323,657,314.07 "," 1,128,488,148.59 "
AGROCHEM, -   ," 31,738,082.15 "," 110,937,691.87 "," 153,526,417.57 "," 7,456,709.68 "," 40,749,194.00 "," 95,985,217.74 "," 31,738,082.15 "," 4,253,339.12 "," 23,552,169.15 "," 5,474,712.88 "
AINABKOI RURAL," 1,923,590.00 "," 5,183,432.00 "," 10,057,473.00 "," 115,011,347.82 "," 3,104,932.64 "," 23,712,486.17 "," 51,491,501.83 "," 5,183,432.00 "," 9,616,518.53 "," 4,407,552.76 "," 6,210,276.55 "
AIRPORTS," 3,289,315.00 "," 193,797,077.35 "," 606,616,682.52 "," 813,518,051.92 "," 25,480,065.00 "," 109,815,497.93 "," 629,090,806.32 "," 193,797,077.35 "," 28,312,397.45 "," 127,543,440.92 "," 93,338,766.58 "
AMICA," 440,265,856.00 "," 486,931,393.14 "," 3,524,264,587.42 "," 4,610,721,222.13 "," 417,309,182.50 ","-207,247,983.82 "," 3,505,505,874.86 "," 486,931,393.14 "," 173,731,090.50 "," 765,595,077.98 "," 957,560,202.25 "
AMMAR," 10,340,687.37 "," 19,961,497.53 "," 153,689,540.49 "," 175,005,899.28 "," 14,204,110.85 "," 29,197,457.14 "," 123,892,616.32 "," 20,028,176.90 "," 8,461,379.88 "," 24,880,940.51 "," 22,048,512.38 "
ARDHI, -   ," 179,973,634.43 "," 1,684,009,804.76 "," 2,043,366,441.03 "," 90,604,074.50 "," 275,490,973.06 "," 1,622,532,285.21 "," 179,973,634.43 "," 139,946,791.37 "," 259,351,671.29 "," 38,488,569.61 "
ASILI ," 259,254,531.49 "," 286,590,792.00 "," 1,361,372,268.00 "," 2,752,986,268.46 "," 74,349,745.08 "," 486,985,115.33 "," 1,734,586,384.65 "," 516,423,029.75 "," 142,725,437.44 "," 262,215,269.67 "," 35,521,718.00 "
AZIMA ," 82,137,999.53 "," 318,780,196.24 "," 1,150,533,722.31 "," 1,690,905,780.70 "," 60,983,264.99 "," 398,563,061.46 "," 1,010,431,144.34 "," 318,780,196.24 "," 111,567,192.76 "," 213,274,642.71 "," 44,877,512.67 "
BANDARI ," 1,615,858,308.61 "," 974,812,601.23 "," 6,987,044,005.35 "," 10,013,777,650.14 "," 369,874,462.59 "," 1,772,390,206.62 "," 6,535,551,782.66 "," 2,115,280,041.44 "," 263,515,346.12 "," 1,338,561,990.77 "," 398,475,659.34 "
BARAKA," 264,500.00 "," 77,488,178.53 "," 202,951,804.58 "," 377,169,134.38 "," 46,871,127.00 "," 110,682,708.89 "," 249,625,997.85 "," 77,488,178.53 "," 9,184,956.29 "," 61,506,626.15 "," 2,058,732.90 "
BARATON ," 153,984.00 "," 40,862,557.06 "," 116,132,402.34 "," 169,121,757.18 "," 8,912,848.19 "," 41,997,138.33 "," 109,282,059.16 "," 40,862,557.06 "," 5,715,165.27 "," 21,857,832.94 "," 935,388.09 "
BIASHARA," 56,991,244.07 "," 285,560,859.00 "," 1,662,532,485.60 "," 2,068,994,645.69 "," 149,047,862.00 "," 460,728,232.87 "," 1,380,159,991.38 "," 297,425,153.94 "," 126,816,093.00 "," 351,927,926.00 "," 212,467,468.00 "
BIASHARA TOSHA," 15,221,601.14 "," 8,913,227.66 "," 57,648,591.05 "," 85,163,441.49 "," 8,177,396.66 "," 24,034,194.14 "," 41,685,753.36 "," 24,129,328.80 "," 4,065,898.02 "," 14,952,677.49 "," 514,392.72 "
BI-HIGH," 8,367,991.27 "," 23,784,204.68 "," 430,131,468.29 "," 664,563,256.30 "," 16,542,263.55 "," 94,445,463.03 "," 484,618,382.82 "," 23,784,204.68 "," 38,123,353.33 "," 56,420,875.29 "," 10,984,954.93 "
BINGWA," 50,802,286.80 "," 2,040,828,651.10 "," 3,985,667,026.70 "," 6,247,446,236.50 "," 309,695,330.30 "," 2,381,059,771.50 "," 3,205,567,641.00 "," 2,091,630,937.90 "," 202,075,477.65 "," 911,129,869.10 "," 781,446,647.04 "
