NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
CAPITAL," 21,610,240.00 "," 659,493,022.80 "," 3,308,437,582.69 "," 4,135,878,884.62 "," 303,741,728.43 "," 425,227,889.98 "," 3,057,344,150.03 "," 659,493,022.80 "," 66,744,295.37 "," 634,372,868.91 "," 807,536,007.69 "
CENTENARY ," 99,885,972.14 "," 170,071,020.67 "," 945,546,278.29 "," 1,208,689,131.07 "," 43,789,395.08 "," 106,260,129.14 "," 909,172,268.01 "," 170,190,020.67 "," 82,311,022.34 "," 135,248,752.03 "," 863,997,819.51 "
CHAI," 170,844,128.15 "," 550,975,597.07 "," 3,292,583,047.83 "," 4,054,846,567.70 "," 221,661,868.00 "," 740,384,078.49 "," 2,856,320,941.91 "," 659,363,831.07 "," 68,065,002.32 "," 550,157,670.32 "," 93,229,071.09 "
CHUNA," 110,553,571.54 "," 17,380,886.27 "," 913,392,895.00 "," 1,609,691,635.32 "," 64,481,310.89 "," 68,162,062.16 "," 1,317,505,929.70 "," 17,380,886.27 "," 71,594,088.07 "," 202,304,106.08 "," 50,672,476.53 "
COMOCO," 22,389,200.00 "," 30,440,579.00 "," 275,874,908.00 "," 616,972,163.00 "," 57,864,273.00 "," 106,502,048.00 "," 354,363,232.00 "," 30,440,579.00 ","-30,078,482.00 "," 59,181,582.00 "," 104,789,617.54 "
COSMOPOLITAN," 165,496,135.58 "," 1,414,587,715.87 "," 5,341,991,776.39 "," 6,941,827,526.06 "," 205,295,107.45 "," 823,118,477.22 "," 5,558,267,033.92 "," 1,555,874,370.13 "," 14,699,238.54 "," 884,963,678.61 "," 280,270,486.02 "
COUNTY," 44,784,787.00 "," 46,591,521.33 "," 391,202,032.00 "," 634,794,383.52 "," 47,694,801.30 "," 90,434,565.17 "," 362,881,679.00 "," 46,591,521.33 "," 32,827,115.39 "," 108,799,782.73 "," 73,884,436.00 "
DAIMA," 79,671,924.25 "," 411,406,023.41 "," 743,694,416.83 "," 1,291,055,365.59 "," 119,131,458.54 "," 183,665,450.04 "," 844,146,891.52 "," 411,406,023.41 "," 55,988,840.29 "," 235,587,359.18 "," 39,827,276.11 "
DHABITI ," 11,477,632.33 "," 49,184,727.64 "," 438,614,683.03 "," 676,418,062.46 "," 71,951,191.80 "," 151,030,643.41 "," 366,879,774.60 "," 49,184,727.64 ","-42,556,646.93 "," 122,005,922.51 "," 92,629,200.48 "
DIMKES DT," 24,832,199.35 "," 304,414,273.75 "," 1,510,991,345.95 "," 1,709,899,926.80 "," 136,890,996.60 "," 267,266,462.44 "," 1,424,284,382.41 "," 328,667,653.10 "," 3,413,662.22 "," 239,386,676.90 "," 201,880,648.89 "
DUMISHA," 5,746,916.00 "," 18,505,498.96 "," 195,344,517.57 "," 270,535,290.92 "," 13,871,533.65 "," 30,675,381.59 "," 160,086,244.75 "," 18,505,498.96 "," 1,819,812.85 "," 26,961,919.35 "," 19,716,413.04 "
ECO-PILLAR," 36,618,314.31 "," 102,995,311.60 "," 471,108,856.86 "," 1,135,612,112.33 "," 65,690,039.23 "," 148,892,137.73 "," 775,265,946.85 "," 102,995,311.60 "," 10,829,514.83 "," 139,354,553.92 "," 5,671,607.04 "
EDIS," 6,000.00 "," 18,186,517.94 "," 158,680,950.43 "," 181,106,404.52 "," 10,006,286.30 "," 41,951,776.63 "," 126,041,792.63 "," 18,186,517.94 "," 2,979,071.15 "," 22,975,032.45 "," 33,809,871.24 "
EGERTON UNIVERSITY," 154,887,425.78 "," 97,111,063.99 "," 1,580,728,394.87 "," 2,257,172,358.71 "," 154,624,629.51 "," 111,076,175.45 "," 1,553,632,578.50 "," 97,111,063.99 "," 16,462,919.58 "," 261,131,965.99 ",
ELIMU," 157,193,556.00 "," 120,723,589.00 "," 809,434,844.00 "," 1,246,660,674.00 "," 130,659,929.00 "," 87,784,449.00 "," 922,689,561.00 "," 129,036,518.00 "," 22,624,159.97 "," 210,678,540.97 "," 33,809,871.24 "
ENEA ," 1,133,487.00 "," 74,289,432.29 "," 106,088,327.83 "," 178,592,431.63 "," 18,470,493.04 "," 41,178,130.00 "," 119,721,127.58 "," 74,289,432.29 "," 6,394,582.45 "," 28,601,194.53 "," 55,459,630.61 "
FARIDI," 80,419,921.38 "," 110,963,302.93 "," 1,153,334,305.43 "," 1,386,545,394.72 "," 64,151,645.87 "," 280,496,433.79 "," 857,225,153.21 "," 110,963,302.93 "," 119,149,307.90 "," 278,472,001.27 "," 26,080,325.06 "
FARIJI," 20,842,795.57 "," 36,677,224.52 "," 262,886,247.98 "," 386,820,537.19 "," 48,213,038.48 "," 113,016,952.34 "," 250,672,435.67 "," 55,346,020.09 "," 18,454,008.38 "," 79,225,727.01 "," 6,213,146.57 "
FORTITUDE," 9,538,489.00 "," 15,705,223.99 "," 172,792,770.59 "," 224,890,913.23 "," 15,924,581.32 "," 36,506,935.27 "," 134,575,376.63 "," 15,705,223.99 "," 30,335,955.61 "," 49,769,303.09 "," 21,477,627.58 "
FORTUNE," 20,166,738.00 "," 485,999,987.00 "," 3,782,343,133.00 "," 4,039,613,256.00 "," 340,997,989.07 "," 1,156,827,932.00 "," 2,350,556,177.00 "," 485,999,987.00 "," 69,897,255.45 "," 706,039,875.44 "," 1,551,582.13 "
FUNDILIMA," 76,121,822.00 "," 16,968,017.74 "," 626,903,938.08 "," 1,001,170,453.71 "," 42,254,753.47 "," 101,352,275.95 "," 798,348,391.66 "," 64,207,628.74 "," 73,604,729.20 "," 129,115,435.57 "," 753,495,956.00 "
GITHUNGURI DAIRY ," 9,648,197.10 "," 301,006,757.35 "," 2,566,038,320.93 "," 2,955,036,456.79 "," 125,264,900.74 "," 486,667,310.98 "," 2,142,632,548.94 "," 301,006,757.35 "," 166,905,910.86 "," 316,643,354.17 "," 8,325,655.87 "
GOLDEN PILLAR," 87,719,404.86 "," 42,452,183.15 "," 338,914,296.74 "," 463,807,934.16 "," 35,913,365.06 "," 63,518,547.69 "," 342,256,103.66 "," 113,052,183.15 "," 8,996,741.02 "," 67,094,318.62 "," 346,299,502.30 "
GOOD FAITH," 2,360,123.60 "," 12,282,238.25 "," 51,571,690.18 "," 64,043,827.90 "," 4,444,957.60 "," 12,368,689.60 "," 48,849,931.19 "," 14,642,361.85 "," 1,375,770.59 "," 7,929,624.86 "," 14,047,614.26 "
GOOD HOPE," 24,520,202.25 "," 4,404,997.89 "," 124,579,342.00 "," 716,492,651.95 "," 14,146,737.00 "," 14,463,505.75 "," 537,351,315.23 "," 25,015,748.89 "," 8,360,724.00 "," 39,043,387.16 "," 40,102,845.55 "
GOODWAY," 830,000.00 "," 8,428,596.67 "," 27,520,106.72 "," 41,795,781.25 "," 2,309,142.00 "," 15,540,965.00 "," 23,669,976.99 "," 8,428,596.67 "," 2,036,251.87 "," 4,825,927.00 "," 294,465.14 "
GUSII MWALIMU," 72,311,880.00 "," 804,154,235.29 "," 9,373,687,428.86 "," 10,307,659,673.87 "," 500,271,219.40 "," 1,290,487,702.78 "," 7,538,218,285.16 "," 804,154,235.29 "," 306,878,292.38 "," 1,668,886,307.47 "," 573,136,876.46 "
HARAMBEE," 1,847,014,180.95 "," 1,020,200,011.73 "," 22,237,338,041.28 "," 33,058,656,544.26 "," 1,284,014,785.48 "," 1,746,768,193.21 "," 21,358,172,709.39 "," 1,070,200,011.73 "," 85,580,994.12 "," 3,389,324,437.75 "," 347,416,296.66 "
HAZINA," 1,586,232,898.96 "," 343,302,686.14 "," 7,568,092,071.95 "," 9,741,019,081.17 "," 130,121,423.57 "," 1,499,097,348.17 "," 7,405,428,038.70 "," 1,911,895,911.30 "," 77,396,653.31 "," 1,111,172,966.03 "," 123,057,409.70 "
ILKISONKO ," 348,713.00 "," 54,721,542.84 "," 154,611,317.11 "," 191,746,220.07 "," 17,177.14 "," 42,885,266.27 "," 130,799,509.31 "," 54,721,542.84 "," 5,879.08 "," 34,384.52 "," 119,837,498.82 "
IMARIKA ," 164,012,345.30 "," 1,190,033,272.19 "," 7,764,308,604.53 "," 9,423,650,174.25 "," 470,355,708.16 "," 1,696,936,908.98 "," 6,255,841,209.34 "," 1,190,033,272.19 "," 868,627,953.04 "," 1,410,082,161.81 "," 5,354,846.40 "
IMARISHA ," 56,782,886.00 "," 1,392,560,152.69 "," 11,121,061,018.42 "," 14,125,957,095.92 "," 513,926,107.60 "," 2,099,774,258.26 "," 9,851,593,738.88 "," 1,392,560,152.69 "," 1,277,269,960.75 "," 2,111,743,839.52 "," 126,118,161.98 "
INVEST & GROW (IG)," 875,296,140.00 "," 2,082,110,709.00 "," 7,229,275,042.00 "," 10,576,303,931.00 "," 298,283,536.00 "," 2,707,257,438.00 "," 5,987,418,090.00 "," 2,354,332,484.00 "," 157,584,837.97 "," 1,410,031,215.00 "," 521,826,244.06 "
JACARANDA," 1,652,157.00 "," 5,125,263.00 "," 19,330,876.85 "," 127,706,716.32 "," 3,021,821.20 "," 18,206,812.00 "," 72,924,079.51 "," 5,125,263.00 "," 430,232.47 "," 4,707,579.06 "," 658,081.00 "
JAMII," 512,902,814.11 "," 169,108,449.41 "," 4,086,805,272.12 "," 4,658,067,293.78 "," 178,837,661.33 "," 355,119,037.37 "," 3,437,193,594.30 "," 410,271,274.22 "," 62,831,650.53 "," 608,759,654.19 "," 662,225,656.01 "
JAMII YETU," 39,152,248.00 "," 66,334,736.57 "," 542,875,877.42 "," 713,390,657.56 "," 47,812,091.49 "," 199,153,838.39 "," 404,672,025.64 "," 66,334,736.57 "," 41,813,972.25 "," 103,826,932.20 "," 57,090,424.42 "
JITEGEMEE ," 12,214,585.00 "," 580,145.04 "," 138,708,142.30 "," 511,599,912.00 "," 40,206,947.25 ","-49,531,609.19 "," 359,647,031.12 "," 580,145.04 ","-362,329.25 "," 39,731,496.91 "," 35,523,910.11 "
JOINAS," 29,075,311.15 "," 30,299,714.82 "," 229,205,135.65 "," 286,102,327.99 "," 23,081,680.07 "," 50,630,043.71 "," 214,358,621.86 "," 55,997,192.60 "," 194,620.48 "," 28,969,402.95 "," 49,928,306.88 "
JUMUIKA ," 14,306,941.30 "," 36,650,882.05 "," 109,558,322.58 "," 206,165,056.87 "," 17,305,917.23 ","-84,650,326.65 "," 195,058,045.93 "," 36,650,882.05 "," 14,808,286.35 "," 33,983,388.33 "," 98,055,147.45 "
KENCREAM," 7,416,793.68 "," 38,056,817.14 "," 234,741,271.91 "," 306,826,468.98 "," 21,337,217.96 "," 54,841,296.94 "," 223,135,391.02 "," 45,473,610.82 "," 21,359,638.52 "," 44,883,930.94 "," 6,251,788.47 "
KENPIPE," 72,935,646.00 "," 327,058,560.00 "," 2,959,084,478.00 "," 3,388,444,379.00 "," 81,416,690.00 "," 554,486,295.00 "," 2,407,868,964.00 "," 327,058,560.00 "," 145,101,754.95 "," 485,998,390.95 "," 16,348,220.75 "
KENVERSITY," 25,367,411.49 "," 308,521,605.11 "," 2,439,305,993.25 "," 3,030,792,667.21 "," 71,998,570.28 "," 365,787,768.66 "," 2,235,740,087.02 "," 333,299,705.11 "," 316,055,094.30 "," 429,986,551.40 "," 325,387,863.93 "
KENYA ACHIEVAS," 83,871,738.59 "," 38,341,912.77 "," 146,599,270.00 "," 392,978,893.46 "," 78,926,457.09 "," 129,120,287.16 "," 178,662,126.36 "," 101,316,628.86 "," 5,367,586.25 "," 109,185,756.34 "," 25,925,130.25 "
KENYA BANKERS," 93,386,179.00 "," 238,797,457.48 "," 6,313,287,894.09 "," 8,474,384,378.77 "," 332,864,559.34 "," 631,987,561.12 "," 6,523,345,994.50 "," 238,797,457.48 "," 336,517,257.20 "," 881,227,987.30 "," 564,028,433.25 "
KENYA HIGHLANDS," 18,200,800.00 "," 1,453,147,564.55 "," 1,640,406,235.31 "," 3,213,145,360.06 "," 187,007,289.01 "," 895,875,366.22 "," 2,121,153,769.98 "," 1,453,147,564.55 "," 59,850,436.94 "," 442,262,736.23 "," 110,581,283.72 "
KENYA MIDLAND," 83,964.02 "," 1,239,324.87 "," 87,567,367.15 "," 172,754,684.01 "," 11,706,751.54 ","-12,184,548.02 "," 60,142,470.81 "," 1,323,288.89 ","-3,690,574.66 "," 9,438,854.28 "," 19,246,686.00 "
KENYA NATIONAL POLICE DT," 1,469,084,616.15 "," 3,055,119,701.97 "," 33,170,319,256.69 "," 39,048,037,479.65 "," 1,101,698,476.45 "," 10,029,901,335.50 "," 23,768,215,909.04 "," 4,334,290,217.82 "," 1,749,609,883.87 "," 5,976,289,240.26 "," 501,986,943.12 "
KEYSTONE DT," 306,672,195.88 "," 32,252,962.83 "," 458,210,796.49 "," 1,184,577,502.97 "," 49,326,552.80 ","-195,769,441.73 "," 622,674,777.42 "," 32,252,962.83 "," 72,922,114.25 "," 155,533,984.75 "," 13,773,044.12 "
KIMBILIO DAIMA," 7,109,264.00 "," 137,228,728.82 "," 433,194,521.02 "," 616,709,288.56 "," 40,849,463.45 "," 117,380,112.30 "," 405,953,756.24 "," 137,228,728.82 "," 7,594,512.76 "," 89,061,781.25 "," 21,193,396.00 "
KIMISITU," 461,630,728.35 "," 1,243,842,896.60 "," 5,672,964,255.36 "," 7,659,924,339.82 "," 191,608,554.67 "," 890,221,379.10 "," 6,004,657,000.38 "," 1,686,877,570.60 "," 74,006,976.52 "," 886,101,874.87 "," 735,261,838.43 "
KINGDOM," 187,285,818.00 "," 63,327,286.00 "," 1,246,497,645.00 "," 1,582,543,305.00 "," 66,797,041.00 "," 274,027,438.10 "," 1,163,030,940.00 "," 219,117,738.00 "," 38,618,909.00 "," 179,593,452.00 "," 133,012,795.00 "
KITUI TEACHERS," 25,257,746.94 "," 505,798,838.00 "," 5,638,148,631.08 "," 6,521,916,846.54 "," 368,384,975.00 "," 1,065,537,106.61 "," 4,740,177,574.17 "," 526,854,834.94 "," 119,613,469.75 "," 1,127,280,678.31 "," 26,494,745.23 "
KOLENGE," 712,303.00 "," 23,211,656.45 "," 69,038,024.29 "," 160,639,994.33 "," 7,917,865.09 "," 13,418,192.67 "," 102,585,218.38 "," 23,211,656.45 "," 2,759,031.46 "," 14,926,525.97 "," 2,077,796.59 "
KORU," 7,114,009.40 "," 13,629,212.58 "," 33,586,811.89 "," 74,364,820.62 "," 2,825,640.32 "," 11,449,672.44 "," 49,343,098.55 "," 13,629,212.58 "," 3,800,983.74 "," 7,474,728.84 "," 5,616,861.55 "
K-PILLAR," 18,693,600.00 "," 174,829,065.00 "," 664,592,357.00 "," 772,610,040.00 "," 35,666,717.00 "," 284,149,829.00 "," 417,162,829.00 "," 188,603,498.00 "," 40,358,627.00 "," 87,395,356.00 "," 159,402,618.00 "
K-UNITY," 501,169,596.16 "," 1,088,478,150.28 "," 2,916,313,467.46 "," 4,607,634,700.77 "," 401,608,540.35 "," 1,189,527,077.81 "," 3,339,537,809.84 "," 1,552,636,584.89 "," 217,193,162.00 "," 667,303,307.52 "," 324,501,755.00 "
KWETU," 1,106,162,911.41 "," 259,673,686.70 "," 2,153,084,789.12 "," 4,596,226,150.97 "," 257,124,186.88 "," 546,074,969.10 "," 2,401,022,867.68 "," 1,365,836,598.11 "," 108,445,811.05 "," 571,996,804.50 "," 74,648,326.80 "
LAINISHA ," 66,940,857.00 "," 43,822,829.76 "," 328,184,247.23 "," 486,605,143.40 "," 37,774,833.27 ","-10,701,316.91 "," 247,191,634.31 "," 43,822,829.76 "," 8,514,088.83 "," 60,256,144.90 "," 46,336,135.46 "
LAMU TEACHERS ," 12,455,122.39 "," 4,687,500.99 "," 92,247,055.44 "," 237,205,364.78 "," 7,640,864.70 "," 29,017,310.71 "," 130,187,785.87 "," 13,048,478.38 "," 5,640,676.23 "," 18,491,211.42 "," 15,495,020.88 "
LENGO," 2,314,486.00 "," 42,499,202.91 "," 203,731,238.55 "," 297,047,374.53 "," 37,102,444.09 "," 46,511,274.97 "," 209,942,041.23 "," 42,499,202.91 "," 6,994,269.80 "," 57,021,056.42 "," 2,756,038.24 "
MAFANIKIO," 56,376,338.11 "," 113,169,311.01 "," 764,103,963.84 "," 970,121,611.89 "," 75,132,056.48 "," 226,112,929.03 "," 618,469,205.09 "," 126,652,351.12 "," 21,695,270.11 "," 159,925,802.10 "," 65,967,370.45 "
MAGADI ," 4,228,554.94 "," 115,260,111.26 "," 613,873,372.78 "," 732,142,200.38 "," 35,585,335.07 "," 99,385,366.34 "," 540,163,130.46 "," 115,260,111.26 "," 76,272,050.12 "," 125,316,872.87 "," 36,015,339.56 "
MAGEREZA," 486,426,946.00 "," 521,409,090.21 "," 3,374,036,476.90 "," 6,359,460,182.68 "," 185,458,958.42 "," 177,865,156.41 "," 4,659,513,006.30 "," 521,409,090.21 "," 376,771,179.15 "," 578,015,719.94 "," 212,517,208.05 "
MAISHA BORA," 782,946,883.88 "," 521,223,481.69 "," 2,869,141,626.77 "," 4,267,971,683.16 "," 77,859,163.51 "," 395,930,556.27 "," 3,288,700,285.61 "," 1,192,198,791.69 "," 202,931,234.81 "," 514,552,313.23 "," 48,423,532.31 "
MENTORS," 221,917,309.00 "," 1,280,519,269.00 "," 6,641,130,131.39 "," 8,960,915,139.63 "," 354,728,566.87 "," 984,404,759.10 "," 6,775,457,858.63 "," 1,280,519,269.00 "," 98,731,350.22 "," 1,179,592,334.28 "," 337,435,775.37 "
METROPOLITAN NATIONAL," 71,071,638.00 "," 634,759,854.00 "," 16,668,225,635.00 "," 16,728,551,120.00 "," 363,979,179.00 "," 3,064,230,035.00 "," 7,641,485,721.00 "," 639,555,643.00 "," 340,450,519.00 "," 1,986,415,029.00 "," 2,022,931,076.00 "
MOMBASA PORT ," 555,739,556.00 "," 1,573,259,108.90 "," 4,326,721,725.24 "," 6,715,212,377.20 "," 202,014,949.45 "," 1,919,720,492.69 "," 3,515,235,903.55 "," 1,573,259,108.90 "," 127,679,604.07 "," 817,814,915.42 "," 276,642,231.52 "
MUDETE TEAFACTORY ," 11,149,200.00 "," 81,077,695.52 "," 196,753,188.24 "," 326,220,567.38 "," 26,714,252.68 "," 38,078,512.08 "," 223,166,442.71 "," 81,077,695.52 "," 19,846,149.08 "," 57,637,968.02 "," 54,576,625.58 "
MUKI ," 25,332,860.54 "," 141,882,506.17 "," 622,123,111.58 "," 905,183,251.29 "," 98,118,785.41 "," 153,214,963.85 "," 644,398,018.16 "," 157,034,774.17 "," 49,836,988.08 "," 149,039,047.29 "," 32,851,811.35 "
MWALIMU NATIONAL ," 1,469,460,080.73 "," 3,967,338,794.67 "," 38,112,796,363.43 "," 57,784,410,037.68 "," 2,093,495,099.70 "," 5,554,885,215.78 "," 41,421,321,684.62 "," 3,967,338,794.67 "," 242,606,149.39 "," 6,878,512,034.71 "," 1,101,080,470.47 "
MWIETHERI," 2,021,710.00 "," 42,887,049.98 "," 80,403,222.65 "," 116,396,478.43 "," 13,698,269.13 "," 23,902,373.65 "," 74,051,624.59 "," 42,887,049.98 "," 8,162,747.80 "," 26,097,967.93 "," 19,048,102.06 "
MWITO," 17,700,368.00 "," 227,437,767.20 "," 1,750,844,148.00 "," 2,122,985,108.00 "," 80,110,782.01 "," 343,253,209.60 "," 1,594,161,435.33 "," 227,437,767.20 "," 64,653,829.96 "," 277,626,956.47 "," 53,100,981.00 "
NACICO," 335,725,434.00 "," 397,561,987.70 "," 2,954,434,137.00 "," 5,134,667,066.99 "," 371,097,263.48 "," 1,055,407,013.00 "," 2,804,927,958.63 "," 525,067,569.70 "," 80,706,115.99 "," 777,806,373.92 "," 114,873,445.00 "
NAFASI DT," 2,705,632.00 "," 129,954,282.31 "," 453,182,054.05 "," 588,693,757.82 "," 45,736,662.21 "," 102,903,502.88 "," 428,636,736.41 "," 129,954,282.31 "," 41,249,390.21 "," 94,726,625.69 "," 12,556,498.00 "
NANDI FARMERS," 8,450,000.00 "," 6,850,763.63 "," 95,730,037.93 "," 135,388,371.17 "," 8,501,812.08 "," 29,485,266.09 "," 75,046,282.12 "," 6,850,763.63 "," 5,421,547.18 "," 16,834,060.38 "," 5,325,020.05 "
NANYUKI EQUATOR," 3,234,750.00 "," 8,587,683.00 "," 92,587,879.00 "," 128,919,181.40 "," 9,861,462.67 "," 43,172,468.12 "," 25,424,507.63 "," 8,587,683.00 "," 1,979,738.38 "," 13,547,795.81 "," 646,370.00 "
NATION DT," 102,043,442.24 "," 646,720,831.99 "," 1,549,826,892.15 "," 2,242,646,871.53 "," 52,064,292.00 "," 299,068,546.73 "," 1,712,995,044.41 "," 746,720,831.99 "," 73,639,777.14 "," 283,431,196.17 "," 198,849,731.72 "
NAWIRI," 134,821,303.00 "," 234,857,955.00 "," 1,634,268,814.00 "," 2,419,098,526.00 "," 170,778,491.00 "," 644,603,655.00 "," 777,448,327.00 "," 234,857,955.00 "," 245,990,640.00 "," 445,646,564.00 "," 137,343,391.00 "
NDEGE CHAI ," 234,034,562.78 "," 342,124,874.84 "," 2,687,917,360.90 "," 3,289,739,132.92 "," 198,484,889.17 "," 435,288,129.65 "," 2,357,584,782.53 "," 504,640,899.62 "," 18,059,939.95 "," 533,007,285.46 "," 137,766,641.75 "
NDOSHA," 25,200,029.00 "," 5,088,276.82 "," 66,305,455.16 "," 201,269,297.17 "," 16,469,875.83 "," 21,442,803.37 "," 129,425,884.83 "," 5,088,276.82 ","-1,772,957.64 "," 17,474,577.85 "," 10,175,045.50 "
NEWFORTIS," 156,070,612.00 "," 1,710,392,045.00 "," 5,863,446,194.00 "," 8,176,081,077.00 "," 272,755,412.00 "," 1,369,864,561.00 "," 5,965,933,762.00 "," 1,720,886,963.00 "," 127,191,794.00 "," 1,130,040,664.00 "," 52,808,366.00 "
NEXUS," 165,522.00 "," 28,830,570.32 "," 90,635,540.12 "," 120,735,696.39 "," 5,909,637.20 "," 24,754,956.14 "," 87,290,247.55 "," 28,830,570.32 "," 5,203,087.89 "," 13,386,134.89 "," 1,126,465.55 "
NGARISHA ," 33,025,041.36 "," 48,319,224.65 "," 2,314,886,882.48 "," 3,085,272,385.78 "," 328,177,870.20 "," 547,353,989.88 "," 1,328,247,704.53 "," 81,344,266.01 "," 51,508,034.66 "," 627,611,927.51 "," 17,679,337.24 "
NRS ," 33,876,608.89 "," 14,969,882.92 "," 278,215,524.42 "," 446,888,625.19 "," 38,080,734.24 "," 24,920,400.87 "," 344,008,116.97 "," 15,969,882.92 "," 15,008,811.42 "," 59,255,213.23 "," 18,991,873.14 "
NSSF," 325,422,910.00 "," 419,622,870.38 "," 1,643,937,901.82 "," 2,382,963,336.40 "," 104,894,602.72 "," 54,800,167.11 "," 1,520,985,611.73 "," 419,622,870.38 "," 20,923,082.85 "," 320,505,593.03 "," 149,571,178.56 "
