NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
KENYA MIDLAND," 22,626,772.80 ","-21,921,274.32 "," 135,111,040.68 "," 136,929,640.49 "," 22,756,287.89 "," 3,022,980.92 "," 73,028,028.13 ","-21,921,274.32 ","-20,597,356.32 "," 29,129,606.91 "," 18,884,910.43 "
KENYA NATIONAL POLICE DT," 1,509,073,521.64 "," 942,483,678.19 "," 14,117,829,559.02 "," 18,062,335,461.66 "," 337,875,594.13 "," 4,622,986,012.87 "," 11,780,060,309.06 "," 2,056,969,608.79 "," 2,093,732,853.53 "," 2,520,427,519.12 "," 134,490,896.75 "
KEYSTONE DT," 50,536,402.00 "," 35,201,263.00 "," 219,240,740.00 "," 723,962,167.00 "," 34,816,658.00 "," 47,259,382.00 "," 694,333,643.00 "," 53,196,605.00 "," 15,437,313.00 "," 69,784,318.00 "," 28,270,312.00 "
KIMBILIO DAIMA," 2,994,264.00 "," 105,451,453.94 "," 218,561,638.51 "," 371,900,597.87 "," 29,126,344.61 "," 74,275,031.47 "," 260,486,179.99 "," 105,451,453.94 "," 281,504.62 "," 56,876,190.36 "," 15,153,567.01 "
KINGDOM," 61,040,364.00 "," 47,424,942.00 "," 640,752,821.00 "," 755,690,417.00 "," 42,796,794.00 "," 126,002,324.00 "," 597,464,274.00 "," 107,793,046.00 "," 21,454,344.00 "," 96,134,633.00 "," 23,296,764.70 "
KITUI TEACHERS," 11,975,750.00 "," 367,786,318.78 "," 2,276,946,619.70 "," 2,826,987,769.64 "," 195,740,692.42 "," 367,453,185.53 "," 2,121,764,927.52 "," 375,896,318.78 "," 41,050,922.68 "," 517,201,706.91 "," 33,859,047.33 "
KOLENGE," 657,983.00 "," 16,015,119.96 "," 39,329,503.28 "," 94,008,220.15 "," 5,550,941.14 "," 28,438,992.94 "," 51,356,422.95 "," 16,015,119.96 "," 1,772,489.96 "," 8,669,163.41 "," 469,646.20 "
KORU, -   ," 11,164,082.55 "," 33,389,508.92 "," 61,368,112.70 "," 3,128,371.94 "," 17,071,398.53 "," 38,895,554.21 "," 11,164,082.55 "," 2,864,981.19 "," 7,070,809.18 "," 3,411,059.49 "
K-PILLAR," 13,563,334.00 "," 103,850,752.00 "," 188,728,987.00 "," 268,755,365.00 "," 18,916,606.00 "," 62,036,714.00 "," 153,324,712.00 "," 113,744,919.00 "," 6,690,200.00 "," 47,436,914.00 "," 82,404,394.00 "
K-UNITY," 273,393,428.03 "," 722,826,853.08 "," 1,476,308,063.56 "," 2,598,028,437.40 "," 286,254,301.63 "," 429,196,899.84 "," 1,916,099,118.49 "," 811,173,002.36 "," 80,943,511.09 "," 356,714,760.74 "," 481,021,975.83 "
KWETU," 1,064,575,311.00 "," 127,679,494.65 "," 790,865,741.60 "," 3,217,954,975.84 "," 127,382,678.24 ","-876,055,258.78 "," 1,733,851,224.29 "," 127,679,494.65 "," 61,108,037.64 "," 247,312,796.23 "," 30,375,442.63 "
LAINISHA ," 13,308,498.00 "," 82,096,339.25 "," 138,889,089.56 "," 306,075,209.39 "," 21,529,969.65 "," 130,401,903.50 "," 119,229,089.00 "," 82,096,339.25 "," 352,055.45 "," 34,331,555.80 "," 5,458,795.28 "
LAMU TEACHERS ," 4,018,256.00 "," 21,178,990.97 "," 95,866,982.79 "," 155,748,934.16 "," 21,846,842.18 "," 22,859,568.37 "," 103,533,017.70 "," 21,178,990.97 "," 9,211,347.36 "," 36,833,847.23 "," 6,981,584.05 "
LENGO," 1,497,398.87 "," 19,817,450.49 "," 74,379,187.10 "," 127,967,434.71 "," 13,517,890.31 "," 19,480,340.09 "," 79,886,003.34 "," 19,817,450.49 "," 1,499,273.24 "," 23,689,303.83 "," 739,774.90 "
MAFANIKIO," 28,191,600.79 "," 67,566,925.10 "," 389,781,182.88 "," 604,142,885.04 "," 46,873,647.60 "," 174,529,534.49 "," 370,403,369.52 "," 95,758,525.89 "," 27,374,455.22 "," 109,849,160.73 "," 18,609,672.01 "
MAGADI ," 39,760,613.20 "," 33,983,596.04 "," 326,978,450.68 "," 424,515,450.63 "," 21,237,027.17 "," 74,510,313.59 "," 304,932,425.85 "," 33,983,596.04 "," 35,952,944.39 "," 67,655,016.39 "," 10,033,927.08 "
