NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
2NK,"8,930.57","76,251.25","566,886.67","861,738.99","28,321.28","276,681.62","519,727.27","76,251.25","89,497.09","67,636.66","49,842,346.74"
AFYA,"253,101,017.19","1,619,133,552.28","14,136,826,496.32","18,418,741,775.75","901,689,865.34","2,724,387,233.78","14,216,251,461.51","1,619,133,552.28","1,107,991,323.11","2,387,591,282.82","601,105,727.60"
AGROCHEM, -   ,"16,156,616.00","125,180,483.00","148,743,473.00","9,279,210.00","40,240,510.82","96,208,068.00","16,156,616.00","2,548,959.75","25,790,821.75","5,213,017.00"
AINABKOI RURAL,"1,923,590.00","6,114,340.00","18,263,783.00","116,149,610.77","4,028,951.73","21,593,188.65","59,772,957.53","6,114,340.00","-227,970.88","5,025,574.46","16,261,967.47"
AIRPORTS,"3,289,315.00","141,118,554.88","599,329,814.86","820,012,030.01",,"166,539,848.41","639,992,752.06","141,118,554.88",,,"24,461,027.66"
AMICA,"423,664,704.82","414,103,608.47","2,805,272,035.83","3,649,656,582.41","398,681,108.42","-297,355,672.58","3,024,616,384.93","414,103,608.47","99,867,118.44","624,631,549.54","826,431,962.84"
AMMAR,"340,679.37","20,133,147.49","138,250,133.51","150,350,740.21","11,151,441.92","35,859,145.72","113,316,929.13","20,199,826.86","1,397,456.16","24,589,546.01","18,205,028.09"
ARDHI, -   ,"78,592,600.59","1,599,218,946.19","1,867,734,562.91","107,410,989.57","323,268,346.07","1,532,127,442.87","78,592,600.59","78,321,584.59","236,621,524.94","28,935,986.06"
ASILI ,"201,318,657.46","241,420,123.62","1,424,043,705.00","2,498,606,541.53","88,239,897.82","441,928,332.15","1,682,001,031.14","414,666,487.34","109,128,340.63","252,997,254.22","57,677,651.63"
AZIMA ,"75,690,922.53","152,793,697.09","1,227,714,380.82","1,610,454,520.21","59,450,636.33","452,025,025.42","980,054,183.52","152,793,697.09","136,943,731.89","226,757,155.86","28,296,296.79"
BANDARI ,"1,429,819,973.77","719,781,180.87","6,904,640,911.00","9,479,938,818.43","343,469,298.98","1,686,662,585.47","6,005,060,114.15","1,531,866,910.24","232,833,026.75","1,332,237,923.33","329,185,946.92"
BARAKA,"264,500.00","48,335,155.20","210,861,411.99","359,302,474.67","43,826,917.00","110,229,552.36","242,506,607.22","48,335,155.20","6,475,982.69","57,525,408.27","1,981,649.23"
BARATON ,"153,984.00","20,659,321.81","137,571,056.59","169,062,215.47","8,206,181.91","35,744,527.13","106,203,876.99","20,659,321.81","6,856,473.98","23,811,432.13","176,176.39"
BIASHARA,"52,014,687.00","171,126,017.00","1,428,863,835.00","1,733,419,464.78","141,248,481.00","488,782,162.77","1,175,531,814.45","180,744,038.77","148,359,492.00","334,601,786.00","121,410,750.00"
BIASHARA TOSHA,"12,589,111.00","9,383,613.42","63,558,319.48","85,972,360.54","7,513,147.87","24,950,326.10","40,493,931.44","21,967,224.42","4,721,476.57","14,596,847.29","241,385.27"
BI-HIGH,"7,344,931.37","12,490,368.44","347,890,054.05","580,425,356.78","15,569,763.60","123,845,227.53","439,623,406.72","12,490,368.44","41,677,871.97","60,337,865.88","18,945,965.48"
BINGWA,"49,452,286.80","1,646,881,307.60","3,823,562,976.10","5,820,328,738.40","320,255,631.38","2,364,973,311.90","2,956,535,652.30","1,696,333,594.40","273,054,890.31","881,254,998.78","550,212,555.65"
BORESHA SACCO,"210,190,765.00","574,773,620.00","5,975,232,132.00","7,217,967,824.00","501,484,691.04","1,278,796,331.00","4,704,990,897.00","718,361,995.00","244,139,748.44","1,200,830,957.72","876,085,609.00"
CAPITAL,"9,953,740.00","418,910,858.84","3,148,960,630.86","3,418,981,332.94","332,824,290.79","466,967,629.64","2,971,928,153.39","418,910,858.84","96,409,180.83","595,340,578.37","680,456,645.22"
CENTENARY ,"4,751,644.99","158,520,659.62","938,875,469.98","1,093,545,408.23","51,213,005.13","240,674,535.53","835,695,973.94","158,904,009.62","85,279,150.27","148,126,938.98","106,517,716.32"
