NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
CHAI,"163,889,136.30","399,318,144.35","3,085,362,459.89","3,674,611,090.24","236,447,435.00","665,037,434.58","2,606,088,150.10","501,357,011.75","48,533,306.55","530,094,171.55","106,809,027.00"
CHUNA,"15,900,265.00","-23,472,691.00","828,859,162.00","1,701,292,565.00","50,048,411.00","236,707,408.00","1,355,752,874.00","-23,472,691.00","77,660,565.00","169,429,913.00","42,485,189.00"
COMOCO,"20,735,542.00","6,080,865.00","393,345,968.00","698,223,359.00","60,854,034.00","75,289,804.00","439,162,182.00","6,080,865.00","-18,471,036.00","79,573,188.00","136,648,368.32"
COSMOPOLITAN,"198,647,586.84","1,340,500,870.91","4,645,139,292.71","6,134,708,455.87","180,883,180.42","794,988,685.23","4,854,238,135.34","1,515,434,976.43","134,204,452.96","786,446,451.73","188,898,219.71"
COUNTY,"38,208,087.00","133,156,827.71","231,718,187.46","524,372,480.01","47,628,140.00","95,582,897.79","360,256,339.34","133,156,827.71","21,044,536.26","98,148,745.27","64,645,683.00"
DAIMA,"76,671,924.25","400,518,477.50","555,287,761.60","1,094,917,701.93","111,082,130.64","172,657,719.39","748,953,690.06","400,518,477.50","37,912,439.68","195,610,727.26","35,691,605.07"
DHABITI ,"11,476,050.90","33,549,440.11","430,058,678.50","667,533,725.92","66,899,833.85","147,721,973.48","400,893,962.42","33,549,440.11","-10,011.70","130,279,025.42","64,218,674.71"
DIMKES DT,"19,973,054.72","253,539,735.97","1,453,343,872.83","1,661,332,808.08","138,990,566.64","275,561,847.63","1,373,650,271.65","273,337,415.69","30,073,216.83","238,986,349.05","447,088,951.08"
DUMISHA,"5,746,916.00","16,270,860.30","183,332,024.26","248,793,314.99","14,008,118.62","41,171,003.22","163,765,321.69","16,270,860.30","7,165,212.10","26,749,701.16","17,850,008.16"
ECO-PILLAR,"34,898,176.34","79,288,658.00","406,216,457.14","1,086,323,514.45","63,424,173.95","154,247,207.77","708,428,130.49","79,288,658.00","13,766,160.21","128,885,187.56","8,748,612.33"
EDIS,"6,000.00","9,795,043.01","157,737,893.75","172,879,022.35","11,023,835.35","51,579,865.86","116,916,660.66","9,795,043.01","14,169,743.47","25,559,820.42","8,909,679.01"
EGERTON UNIVERSITY,"176,733,751.48","103,873,854.24","1,654,839,452.67","2,365,223,112.24","151,939,930.12","136,714,686.69","1,623,945,819.24","103,873,854.24","79,327,612.45","314,282,790.04","77,692,512.90"
ELIMU,"146,154,140.00","98,494,394.00","769,817,414.00","1,210,648,356.00","118,175,259.12","151,592,167.00","888,647,344.00","107,630,942.00","81,985,699.83","202,248,013.10","78,122,703.51"
ENEA ,"1,133,487.00","72,632,990.76","93,192,890.26","169,071,405.50","18,872,662.16","42,218,987.93","118,767,126.00","72,632,990.76","3,680,438.87","24,709,335.58","25,003,407.02"
FARIDI,"91,976,701.18","98,501,771.57","952,395,430.47","1,193,920,702.16","52,672,350.54","160,017,750.79","720,957,898.42","98,501,771.57","102,320,531.46","251,407,559.09","8,026,239.64"
FARIJI,"19,525,874.21","38,331,508.27","223,649,875.66","342,521,084.98","45,281,030.55","103,935,347.28","234,637,051.06","55,683,382.48","20,057,328.68","76,391,984.05","16,678,694.11"
FORTITUDE,"9,538,489.00","13,952,113.32","146,498,116.60","186,873,634.30","15,690,901.46","35,170,966.75","124,742,338.07","13,952,113.32","8,673,708.73","38,122,296.26","11,499,006.08"
FORTUNE,"21,694,280.95","292,487,395.00","3,138,749,188.00","3,456,932,799.95","360,912,349.61","1,221,319,107.05","1,903,952,424.00","292,487,395.00","128,587,435.80","640,776,487.61","518,467,706.00"
FUNDILIMA,"74,155,855.18","1,143,616.06","650,732,332.37","947,034,178.85","44,805,760.55","176,624,851.21","749,728,746.08","53,548,380.24","80,225,172.15","137,462,485.84","13,576,114.20"
GITHUNGURI DAIRY ,"9,648,197.10","197,906,609.11","1,913,106,311.03","2,246,800,973.40","139,385,648.27","513,385,442.66","1,634,304,360.60","197,906,609.11","106,985,860.32","270,440,398.16","72,086,660.74"
GOLDEN PILLAR,"79,095,601.86","27,195,319.39","321,442,163.00","426,621,624.56","35,483,920.45","62,202,713.24","311,908,445.08","88,795,319.39","7,524,402.53","65,440,222.45","12,298,605.38"
GOOD FAITH,"1,805,072.10","13,868,320.62","44,257,598.77","62,093,347.98","6,214,324.20","12,823,087.77","46,939,956.20","15,673,392.72","1,137,078.06","7,367,266.28","12,948,521.80"
GOOD HOPE,"35,173,955.52","8,100,099.23","116,274,601.48","814,050,929.54","11,053,570.86","54,243,049.43","524,442,039.80","39,364,603.50","26,683,385.10","42,225,391.71",
GOODWAY,"830,000.00","7,140,792.00","34,556,455.00","47,736,858.00","4,805,850.00","18,366,644.00","23,907,159.00","7,140,792.00","552,954.00","7,824,104.00","439,735.00"
GUSII MWALIMU,"72,311,880.00","828,906,245.83","8,388,833,904.55","9,303,176,271.65","463,820,047.60","1,406,793,484.23","6,692,795,140.71","828,906,245.83","206,804,028.56","1,528,336,697.77","475,713,492.24"
HARAMBEE,"1,797,014,180.95","894,848,315.74","18,658,210,953.70","29,616,454,863.47","1,114,593,076.64","2,954,136,338.93","19,975,770,669.94","894,848,315.74","1,184,415,908.69","3,119,502,851.19","385,457,374.10"
HAZINA,"1,100,259,959.90","356,644,432.00","6,823,567,858.17","8,456,159,982.43","131,740,788.53","1,327,998,962.15","6,492,138,935.57","1,439,578,622.50","68,803,014.90","961,014,413.05","120,190,562.89"
ILKISONKO ,"322,313.00","54,687,607.10","138,104,351.18","181,231,097.94","14,255.06","40,981,267.28","128,146,315.88","54,687,607.10","8,916.73","37,729.99","50,710,316.83"
IMARIKA ,"142,806,345.30","847,495,228.42","7,433,916,405.09","8,663,291,484.37","473,001,513.50","2,098,414,398.52","5,881,502,254.77","847,495,228.42","841,316,123.13","1,463,487,380.12","487,937,072.21"
IMARISHA ,"56,782,886.00","592,651,802.74","10,260,146,751.14","12,519,841,412.52","498,712,037.04","2,966,834,956.37","8,366,864,545.95","592,651,802.74","1,199,095,379.06","2,024,153,904.65","204,048,652.16"
INVEST & GROW (IG),"627,510,316.00","1,604,702,790.00","6,805,841,374.00","9,369,626,551.00","241,451,720.00","2,521,988,594.00","5,329,529,382.00","1,711,828,040.00","235,699,667.83","1,408,820,812.00","490,333,458.50"
JACARANDA,"1,619,895.00","5,335,746.30","20,535,348.66","131,851,893.70","3,627,931.04","17,204,073.30","76,631,867.46","5,335,746.30","938,198.96","6,055,976.25","580,275.00"
JAMII,"428,247,717.78","189,554,330.87","3,776,618,369.79","4,365,209,120.54","119,425,967.66","505,621,203.95","3,165,541,549.63","478,852,867.35","55,133,742.24","412,925,674.94","523,386,300.01"
JAMII YETU,"38,652,248.00","48,473,067.94","515,056,671.75","658,145,196.05","47,697,770.74","213,437,391.65","383,954,082.13","48,473,067.94","45,214,433.32","105,297,015.98","52,285,252.30"
JITEGEMEE ,"12,613,743.74","-2,546,701.38","156,903,130.46","505,723,530.87","54,590,629.72","-50,030,001.64","354,522,878.56","-2,546,701.38","-26,058,299.31","42,908,474.22","70,266,521.57"
JOINAS,"22,834,139.14","22,783,400.93","220,736,990.74","266,748,002.05","22,801,352.40","48,059,569.43","197,357,579.52","41,855,672.10","1,153,952.59","30,204,033.88","62,993,817.91"
JUMUIKA ,"18,792,655.30","8,756,459.69","118,974,404.06","87,955,646.60","15,942,609.91","-103,199,452.72","106,311,068.30","8,756,459.69","-121,559,926.29","9,238,409.90","113,357,711.03"
KENCREAM,"4,263,563.28","29,729,946.83","214,821,992.34","278,023,191.58","23,036,407.29","63,137,503.92","206,767,121.87","30,467,190.11","14,482,578.38","38,731,137.92","4,277,052.61"
KENPIPE,"96,710,329.40","407,949,698.74","2,520,948,379.07","3,040,936,430.40","89,501,962.79","400,447,103.86","2,215,123,363.76","407,949,698.74","72,397,730.63","408,837,545.53","29,638,037.21"
KENVERSITY,"25,335,033.19","196,170,866.43","2,359,537,820.08","2,819,659,101.08","86,309,667.86","565,177,953.88","2,101,249,417.24","220,948,966.43","250,436,666.19","416,622,144.07","262,077,605.47"
KENYA ACHIEVAS,"21,017,327.93","70,865,034.30","181,659,592.98","412,941,319.12","89,020,502.53","114,926,100.52","192,929,606.18","70,985,339.73","7,355,997.00","118,207,155.70","32,343,117.74"
KENYA BANKERS,"93,386,179.00","217,095,099.58","5,902,887,224.44","8,343,496,218.98","372,073,094.73","1,087,610,341.21","6,260,863,044.82","217,095,099.58","520,525,794.25","903,840,101.94","484,265,235.60"
KENYA HIGHLANDS,"18,448,614.96","1,075,924,572.87","1,650,103,790.50","2,910,578,687.73","172,727,410.35","832,572,912.99","1,863,142,589.74","1,079,172,387.83","60,290,074.85","451,191,289.36","126,384,398.16"
KENYA MIDLAND,"81,964.02","1,442,279.82","83,727,240.14","152,921,372.38","14,440,800.60","10,718,137.18","41,280,897.60","1,524,243.84","-4,885,473.22","14,113,362.92","20,897,041.00"
KENYA NATIONAL POLICE DT,"1,423,392,699.58","2,639,926,661.31","28,979,992,598.54","34,643,007,633.32","928,562,247.38","8,469,283,030.01","21,549,988,989.78","3,827,876,580.59","1,832,786,344.15","5,868,197,525.09","175,729,673.75"
KEYSTONE DT,"277,607,932.59","117,479,387.62","584,445,198.63","1,098,859,806.60","65,255,856.90","103,221,126.17","616,526,976.77","117,479,387.62","39,311,453.31","133,955,146.09","21,943,878.93"
KIMBILIO DAIMA,"7,109,264.00","138,479,460.74","386,403,848.82","577,772,645.36","40,917,426.58","117,656,188.79","383,833,609.93","138,479,460.74","-1,817,716.64","84,572,019.70",
KINGDOM,"301,854,213.00","39,004,656.00","1,106,563,918.00","1,479,351,254.00","72,966,201.00","271,677,304.00","1,103,158,712.00","309,273,253.00","50,557,166.00","180,876,876.00","33,532,965.00"
KITUI TEACHERS,"21,939,689.00","174,511,155.00","5,103,470,249.00","5,612,700,126.00","349,555,245.62","988,485,624.00","4,071,578,210.00","192,249,094.00","127,125,475.69","1,042,035,567.01","35,715,696.08"
KOLENGE,"661,303.00","20,169,726.78","57,365,818.87","144,354,135.85","7,297,058.61","48,851,709.80","89,619,023.05","20,169,726.78","1,714,318.69","12,051,863.80","1,902,321.73"
KORU, -   ,"8,493,781.54","29,988,725.83","73,839,448.42","3,442,478.77","21,356,916.55","47,813,317.64","8,493,781.54","3,137,913.45","7,197,025.72","4,260,745.43"
K-PILLAR,"16,437,661.00","207,453,633.00","495,778,424.00","636,799,982.00","31,891,235.00","271,497,009.00","329,148,731.00","219,172,127.00","89,319,084.00","152,870,553.00","155,525,630.00"
K-UNITY,"497,844,758.86","973,849,633.73","2,491,921,145.32","4,186,976,004.41","431,133,777.18","1,005,826,702.30","3,039,674,414.90","1,438,780,797.04","190,831,406.82","644,723,754.82","323,035,902.14"
KWETU,"996,208,972.36","400,569,946.79","1,760,406,034.09","4,281,899,266.73","235,187,361.30","535,356,197.73","2,197,068,049.39","1,396,778,919.15","116,443,653.59","507,534,050.12","47,271,390.95"
LAINISHA ,"84,264,587.00","23,783,274.37","257,046,187.72","417,511,208.32","46,674,729.18","135,087,215.00","186,558,455.06","23,783,274.37","10,929,458.30","58,640,436.68","38,351,831.37"
LAMU TEACHERS ,"12,165,122.39","5,418,515.55","87,187,744.24","236,484,011.37","8,158,122.00","36,337,239.03","125,734,281.33","13,579,492.94","10,918,576.75","21,358,116.71","21,957,860.56"
LENGO,"2,094,486.00","44,362,384.32","155,677,395.63","245,344,504.57","28,223,053.65","44,057,711.47","158,409,123.20","44,362,384.32","4,759,345.30","45,528,611.42","1,873,351.90"
MAFANIKIO,"46,427,679.81","71,000,412.22","731,291,820.91","893,380,003.85","75,590,193.32","233,389,106.15","567,923,384.24","85,254,803.03","24,360,399.93","162,789,592.74","39,625,832.02"
MAGADI ,"4,228,554.94","98,436,927.01","546,061,267.71","659,106,693.70","36,360,689.86","163,632,289.47","486,988,341.06","98,436,927.01","73,166,962.47","119,356,968.20","26,791,085.50"
MAGEREZA,"636,426,946.00","608,664,630.40","3,662,424,306.55","5,668,026,222.52","179,722,430.55","886,051,128.10","4,082,998,541.90","1,245,091,576.40","329,116,477.07","522,481,969.32","152,672,525.91"
MAISHA BORA,"211,971,573.88","570,678,392.72","2,877,867,657.60","3,755,824,308.23","72,749,021.49","405,850,067.79","2,918,054,286.73","670,678,392.72","105,085,463.19","464,553,622.98","82,364,330.94"
MENTORS,"198,543,458.75","798,654,267.08","6,301,932,075.58","7,958,553,070.75","423,257,110.93","929,339,719.94","5,972,925,247.72","798,654,267.08","1,620,375.58","1,145,324,543.49","384,208,367.42"
METROPOLITAN NATIONAL,"70,749,085.00","653,187,587.00","14,892,573,280.00","15,141,740,793.00","420,538,702.00","3,060,839,476.00","7,322,660,741.00","657,660,824.00","145,836,003.00","2,025,194,374.00","1,717,152,516.00"
MOMBASA PORT ,"545,223,451.60","1,205,652,995.46","4,005,876,669.14","6,040,455,410.94","200,828,200.27","1,830,304,868.75","3,092,455,081.42","1,205,652,995.46","181,768,016.48","815,029,464.73","227,842,576.70"
MUDETE TEAFACTORY ,"10,909,200.00","72,219,337.04","177,693,387.95","294,504,253.78","27,394,133.86","41,223,487.02","211,631,576.73","72,219,337.04","19,926,426.73","55,621,633.24","30,642,903.62"
MUKI ,"24,376,680.29","85,957,332.03","529,985,641.86","762,483,807.51","95,775,920.69","183,256,332.93","533,748,129.69","100,971,224.78","46,773,929.10","144,184,890.11","24,826,429.38"
MWALIMU NATIONAL ,"1,526,606,667.32","3,596,597,047.58","33,729,749,815.90","52,034,881,271.44","2,008,839,804.70","5,663,497,571.46","36,901,519,619.32","3,596,597,047.58","669,862,340.78","6,463,315,663.61","1,057,619,583.12"
MWIETHERI,"2,021,710.00","40,188,780.76","81,290,519.46","109,995,628.02","11,709,949.29","22,370,041.88","83,338,946.70","40,188,780.76","2,354,377.79","15,975,961.08","22,665,232.75"
MWITO,"17,700,368.00","148,725,111.00","1,671,758,021.00","1,895,924,178.00","100,885,442.01","331,173,371.21","1,415,473,738.88","148,725,111.00","66,132,469.26","271,709,919.62","30,802,819.30"
NACICO,"301,528,037.00","347,038,620.00","2,751,332,268.80","4,898,112,475.31","339,352,612.13","1,084,503,807.30","2,686,893,548.74","447,443,305.00","131,165,905.29","789,155,539.57","40,393,913.00"
NAFASI DT,"2,772,035.14","60,267,807.47","453,189,701.72","536,540,841.07","43,812,051.84","104,860,133.97","374,713,971.11","60,267,807.47","10,499,735.10","90,623,796.79","20,380,124.74"
NANDI FARMERS,"8,450,000.00","3,260,668.34","98,574,683.63","138,712,558.23","10,087,533.49","14,864,421.21","93,891,780.00","3,260,668.34","1,110,556.14","14,113,324.11","5,139,070.27"
NANYUKI EQUATOR,"3,234,750.00","11,626,051.00","97,602,422.00","127,793,343.62","11,654,324.00","41,523,377.83","29,045,674.09","11,626,051.00","142,894.90","13,640,263.59","928,509.00"
NATION DT,"2,592,627.24","535,668,641.84","1,509,371,733.00","1,973,983,777.36","55,295,053.13","281,901,578.92","1,690,223,157.82","535,668,641.84","49,729,835.09","265,371,603.45","126,515,519.90"
NAWIRI,"134,821,303.00","238,429,246.00","1,381,301,570.00","1,953,354,763.00","172,092,701.00","575,383,735.00","1,248,561,361.00","238,429,246.00","193,365,268.00","393,178,418.00","131,695,636.73"
NDEGE CHAI ,"270,045,266.47","296,218,269.87","2,304,876,440.42","2,916,854,372.38","190,618,471.95","384,959,236.27","2,069,855,794.42","511,503,098.99","10,827,469.45","487,686,499.46","109,659,317.36"
NDOSHA,"24,270,029.00","12,563,002.00","123,731,336.42","242,371,547.43","19,238,608.91","20,623,508.69","173,194,291.13","12,563,002.00","176,084.63","24,449,141.84","30,296,773.04"
NEWFORTIS,"160,666,128.00","1,152,448,889.00","5,639,875,262.00","7,344,948,617.00","260,947,549.00","1,237,595,943.00","5,326,223,452.00","1,158,796,665.00", -   ,"1,035,657,091.00","37,269,698.14"
NEXUS,"165,322.00","21,536,485.74","86,720,634.01","109,478,446.70","5,319,799.40","27,194,219.10","79,463,777.60","21,536,485.74","5,411,188.51","13,106,354.91","1,733,051.00"
NGARISHA ,"373,025,041.35","246,460,707.90","2,007,637,621.95","2,964,156,349.95","273,444,144.60","504,178,839.56","1,197,441,130.70","619,485,749.25","26,378,280.10","568,435,344.15","11,650,429.54"
NRS ,"24,188,219.58","7,899,378.51","257,307,500.32","409,087,148.49","38,515,667.81","40,291,530.48","328,445,823.37","9,899,378.51","11,873,224.89","54,922,046.17","19,926,886.00"
NSSF,"326,414,766.00","297,377,400.40","1,544,084,469.88","2,232,688,404.32","111,371,385.28","55,836,660.99","1,393,998,145.46","297,377,400.40","75,041,572.44","337,073,400.14","47,347,462.73"
NUFAIKA ,"4,829,469.00","39,185,150.41","113,046,858.55","187,272,301.17","10,616,095.10","39,015,153.68","117,746,070.49","39,185,150.41","10,297,824.79","24,392,275.77","9,056,534.11"
NYALA VISION,"110,000.00","145,402,990.98","368,102,021.49","536,849,256.32","43,966,638.40","78,839,543.60","613,175,285.02","145,402,990.98","37,361,127.60","86,372,692.70","18,368,285.39"
NYAMBENE ARIMI,"4,494,480.17","31,917,385.99","195,286,236.25","237,500,008.39","48,221,183.52","89,218,626.74","141,407,297.41","31,917,385.99","6,729,629.91","61,342,507.07","50,838,459.47"
NYAMIRA TEA FARMERS,"20,398,216.00","17,130,443.39","100,523,156.80","276,389,854.23","19,019,353.76","-27,215,561.28","138,568,914.03","17,130,443.39","-39,924,369.57","15,348,987.32","63,986,128.42"
NYATI,"25,699,918.52","161,150,732.39","3,077,148,047.55","3,366,287,041.60","148,938,441.00","1,079,197,275.47","2,201,531,495.77","168,189,219.91","411,595,376.83","583,822,884.46","97,288,748.46"
OLLIN,"240,105,090.00","753,790,365.00","4,404,808,606.00","5,280,698,415.00","241,298,594.00","597,482,200.00","3,504,403,072.00","753,790,365.00","112,094,828.00","761,409,152.00","105,973,368.12"
ORIENT,"20,485.29","6,632.97","150,129.51","737,278.26","14,176.81","-75,572.95","370,561.45","18,413.69","-10,095.17","34,986.33","43,039,239.00"
PATNAS ,"175,262,790.00","23,143,951.81","209,627,236.78","527,255,392.08","80,128,202.88","72,219,958.54","195,338,105.44","23,271,451.81","-2,461,812.75","117,425,831.73","24,294,908.21"
PRIME-TIME,"58,875,343.23","123,906,651.98","369,108,203.00","780,466,526.04","32,236,358.20","110,252,853.60","574,125,447.00","173,464,631.21","11,590,040.06","102,469,251.62","10,312,478.86"
PUAN ,"12,026,901.00","37,414,910.08","220,183,419.00","314,810,480.08","20,478,980.00","30,550,447.00","201,134,356.00","37,414,910.08","1,928,324.00","36,967,680.00","6,654,613.00"
QWETU,"66,297,413.10","214,731,700.24","1,754,981,904.51","2,084,762,158.64","199,973,903.01","207,785,215.20","1,490,186,708.41","214,731,700.24","46,201,744.50","387,420,967.10","67,032,426.17"
RACHUONYO TEACHERS,"9,773,800.00","10,582,102.00","121,595,121.00","157,788,811.00","8,456,132.00","19,560,735.00","108,538,345.00","20,355,902.00","958,092.00","13,056,008.00","85,208,165.00"
SAFARICOM,"308,111,190.00","450,132,527.00","5,685,081,126.00","6,611,727,496.00","82,964,313.00","738,828,202.00","5,506,849,980.00","705,979,787.00","219,620,535.00","669,738,848.00","1,035,243,226.00"
SHERIA,"31,651,476.10","191,524,607.03","5,560,620,949.97","6,030,093,172.94","234,125,087.00","919,775,552.21","4,327,525,473.02","191,524,607.03","75,506,457.26","738,301,065.08","233,863,502.71"
SHIRIKA DT,"1,255,439.00","537,253,545.94","2,489,321,503.00","3,127,015,087.16","67,507,852.41","461,174,067.67","2,420,854,207.30","537,253,545.94","65,047,437.44","381,803,924.97","11,295,638.55"
SHOPPERS,"40,023,123.44","52,189,723.56","735,178,878.60","1,092,914,390.60","77,345,215.93","362,930,756.76","547,533,241.08","52,189,723.56","-81,633,430.16","107,056,630.95","422,765,294.13"
SIMBA CHAI,"16,510,103.00","208,413,052.13","880,562,054.55","1,228,895,766.59","43,013,824.50","295,949,314.66","664,112,939.73","208,413,052.13","39,018,167.47","163,166,903.13","43,814,925.00"
SIRAJI,"101,856.00","84,202,024.63","324,791,340.43","442,649,994.97","46,802,306.24","93,847,876.60","312,431,266.80","84,202,024.63","14,860,678.86","73,654,318.22","28,219,972.58"
SKYLINE,"11,990,720.00","187,337,975.41","984,863,925.93","1,566,357,368.12","94,865,875.97","331,099,425.26","1,151,323,577.43","187,337,975.41","119,044,297.27","206,308,899.30","85,884,447.80"
SMART CHAMPION,"14,232,904.92","12,327,798.76","269,055,770.28","288,030,732.03","24,369,078.82","73,793,903.05","174,079,692.54","23,241,196.76","17,547,743.58","57,119,206.70","32,132,262.79"
SMARTLIFE DT,"44,448,776.00","131,508,416.00","929,412,032.00","1,165,828,542.00","35,203,337.00","183,680,140.00","742,587,408.00","157,456,175.00","2,136,071.00","114,930,743.00","19,591,025.00"
SOLUTION,"176,827,100.00","670,966,204.00","4,027,992,189.00","5,214,675,411.00","446,712,333.98","386,028,010.30","3,485,128,482.00","670,966,204.00","18,817,005.02","893,132,176.00","110,538,048.00"
SOTICO,"49,120,054.80","50,067,619.66","132,217,111.00","245,048,524.06","14,375,455.55","-11,327,085.80","133,126,251.00","50,067,619.66","2,004,055.98","31,017,772.13","3,736,837.93"
SOUTHERN STAR,"140,273,415.48","167,345,248.48","869,620,335.86","1,193,698,103.96","123,949,291.45","138,515,140.54","849,767,041.05","206,165,500.29","4,632,634.20","195,882,683.04","287,539,417.60"
STAKE KENYA,"3,379,050.00","10,944,331.31","110,315,891.40","222,377,106.93","17,378,345.67","40,440,610.45","140,865,142.97","10,944,331.31","11,844,523.70","33,103,333.62","15,186,367.90"
STAWISHA,"11,995,429.00","27,720,893.51","179,881,723.23","253,398,251.64","20,369,214.50","69,914,063.43","167,387,222.01","39,716,322.51","13,008,336.74","43,136,030.78","7,241,719.00"
STIMA DT,"947,841,186.87","4,925,168,959.89","30,403,318,259.57","37,038,736,368.15","1,270,243,060.51","4,808,063,445.03","28,268,507,426.62","5,206,138,941.17","1,111,222,968.81","5,236,445,384.25","1,448,345,728.75"
SULUHU,"5,676,604.00","75,500,453.88","571,594,286.50","751,701,869.86","49,777,360.16","144,397,339.18","493,666,019.94","75,500,453.88","77,821,838.10","145,146,016.90","6,585,930.99"
SUPA ,"728,708.00","74,239,266.12","397,986,322.75","471,269,561.43","29,720,100.11","76,774,143.26","393,016,958.52","74,239,266.12","17,797,124.88","54,804,629.33","14,099,954.88"
TABASAMU,"25,260,800.55","105,956,317.32","325,821,432.20","724,673,413.77","54,218,471.63","148,279,863.18","481,802,313.54","105,956,317.32","29,374,172.66","119,905,218.95","18,681,071.78"
TABASURI,"40,771,455.09","54,690,370.92","299,024,928.24","390,435,343.38","41,615,072.01","55,345,310.13","267,808,640.88","83,621,004.01","12,015,733.05","64,079,382.23","38,653,265.36"
TAI,"25,411,919.00","511,692,245.48","2,000,828,713.12","2,718,646,573.44","272,207,917.37","656,081,415.73","1,826,510,973.19","521,742,245.48","67,596,048.46","445,837,213.61","483,076,199.36"
TAIFA ,"157,394,679.71","866,762,879.74","2,120,258,775.76","3,406,088,079.25","282,299,857.65","927,310,978.13","2,428,442,862.37","1,024,157,559.45","162,704,442.15","489,264,756.08","111,801,637.40"
