NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL 
CHAI," 154,575,973.70 ","494,876,416.89","3,614,438,125.02","273,787,205.22"," 890,033,398.16 ","3,004,975,316.05"," 587,224,170.29 ","49,580,151.87","634,263,282.62"," 72,171,125.40 "
CHUKA UNIVERSITY," 5,700.24 ","34,016.31","295,981.65","4,096.25"," 87,194.25 ","221,494.26"," 39,716.55 ","40,116.08","46,844.14"," 1,438,235.00 "
CHUNA," 130,109,456.60 ","86,045,728.55","1,122,498,262.28","137,402,042.13"," 196,345,215.60 ","1,333,084,245.08"," 86,045,728.55 ","112,850,235.82","251,169,778.83"," 33,278,478.87 "
COMOCO," 17,765,641.00 ","20,308,399.00","162,387,482.00","42,424,506.00"," 82,444,604.00 ","283,495,458.00"," 20,308,399.00 ","-32,098,124.00","36,637,502.00", -   
COSMOPOLITAN," 137,103,121.50 ","1,533,537,569.20","6,365,654,645.76","262,889,424.52"," 934,186,829.70 ","6,379,317,616.66"," 1,634,788,689.92 ","87,466,219.61","1,035,862,809.86"," 261,084,266.89 "
COUNTY," 95,976,032.00 ","18,468,184.00","297,344,446.73","43,481,799.79"," 92,075,340.00 ","351,936,676.54"," 18,468,184.00 ","25,610,486.85","108,232,869.61"," 80,578,327.80 "
DAIMA," 79,671,924.25 ","287,624,117.97","951,635,722.78","132,541,523.83"," 264,600,910.65 ","899,666,269.90"," 287,624,117.97 ","46,699,596.42","259,598,550.25"," 28,599,551.72 "
DHABITI ," 12,885,608.33 ","96,376,511.92","455,293,827.74","70,864,041.71"," 185,962,079.67 ","350,188,306.35"," 96,376,511.92 ","28,494,074.69","123,269,122.17"," 139,655,063.92 "
DIMKES DT," 29,485,148.00 ","321,618,304.26","1,802,045,420.23","157,950,612.54"," 433,804,582.18 ","1,603,626,282.58"," 350,467,379.26 ","139,889,489.63","302,391,867.94"," 167,297,124.83 "
DUMISHA," 3,171,416.00 ","17,034,260.76","191,952,031.62","11,239,989.50"," 41,517,751.44 ","159,415,503.35"," 17,034,260.76 ","620,749.94","21,423,184.45"," 19,819,314.96 "
ECO-PILLAR," 36,628,968.17 ","109,704,519.50","529,437,944.13","78,662,503.40"," 183,058,343.16 ","824,151,833.40"," 109,704,519.50 ","16,880,717.13","158,303,251.70"," 1,631,835.27 "
EDIS," 6,000.00 ","3,928,172.18","196,198,607.83","13,868,206.27"," 56,421,608.88 ","136,832,949.00"," 3,928,172.18 ","11,556,662.29","39,607,908.52"," 13,883,079.01 "
EGERTON UNIVERSITY," 159,808,920.40 ","58,739,896.96","1,294,063,287.38","98,094,194.02"," 128,326,892.71 ","1,395,045,306.11"," 58,739,896.96 ","51,275,284.91","220,235,625.32"," 495,964,893.27 "
ELIMU," 130,067,105.00 ","227,148,097.00","815,904,189.00","148,970,604.20"," 196,760,579.00 ","974,991,800.00"," 244,087,862.00 ","76,476,999.05","234,052,030.24"," 34,622,718.06 "
ENEA ," 1,133,487.00 ","53,431,661.28","146,902,224.07","20,675,294.03"," 56,793,142.64 ","131,416,939.00"," 53,431,661.28 ","10,300,920.65","33,292,481.05"," 32,746,639.62 "
FARIDI," 78,779,413.98 ","143,587,385.61","1,380,290,352.52","75,233,379.32"," 423,991,457.95 ","913,572,919.90"," 143,587,385.61 ","146,703,298.31","332,185,929.98"," 14,924,109.28 "
FARIJI," 43,407,346.65 ","34,454,128.18","302,574,503.48","60,613,471.89"," 165,280,603.64 ","280,239,059.80"," 75,558,474.83 ","19,962,051.75","92,180,565.73"," 25,949,163.69 "
FORTITUDE," 9,688,489.00 ","42,382,914.32","182,097,000.49","23,193,657.38"," 64,518,505.63 ","152,858,393.16"," 42,382,914.32 ","9,503,152.23","54,151,549.39"," 8,121,991.16 "
FORTUNE," 19,698,030.00 ","518,967,530.00","4,307,901,139.00","405,273,499.00"," 1,456,387,116.00 ","2,759,926,739.00"," 518,967,530.00 ","154,582,712.00","800,178,827.00"," 818,239,212.00 "
FUNDILIMA," 141,252,532.80 ","30,245,735.34","751,542,285.21","48,039,869.43"," 174,252,807.03 ","829,616,441.54"," 144,011,124.17 ","69,693,017.36","129,809,604.42"," 17,116,761.54 "
GITHUNGURI DAIRY ," 9,648,197.10 ","239,309,787.23","3,379,194,935.42","170,039,206.27"," 725,447,824.70 ","2,754,853,546.03"," 239,309,787.23 ","157,502,720.96","420,190,675.93"," 527,100,609.00 "
GOLDEN PILLAR," 89,398,939.26 ","38,250,265.48","412,658,791.02","45,459,483.75"," 86,971,820.98 ","394,840,115.51"," 110,434,009.48 ","10,307,580.54","82,751,254.29"," 12,589,090.15 "
GOOD FAITH," 2,923,715.35 ","16,902,420.89","47,572,949.70","4,666,278.75"," 17,117,542.90 ","48,788,649.40"," 19,826,136.24 ","3,815,032.77","8,473,764.06"," 16,344,509.58 "
GOOD HOPE," 30,295,783.62 ","7,502,069.00","117,705,452.39","12,625,687.00"," 41,564,699.88 ","546,693,047.49"," 29,312,820.57 ","17,902,131.93","42,606,269.49"," 59,531,444.04 "
GOODWAY, -   ,"7,954,587.84","37,148,812.00","3,245,541.60"," 19,625,508.68 ","30,511,070.73"," 7,954,587.84 ","2,331,831.67","5,968,025.57"," 397,492.29 "
GUSII MWALIMU," 102,041,648.00 ","1,543,520,949.27","10,129,634,583.97","464,323,232.10"," 1,991,844,784.72 ","8,453,131,859.68"," 1,543,520,949.27 ","437,871,764.83","1,876,604,708.24"," 685,748,979.68 "
HARAMBEE," 1,847,014,181.00 ","786,117,273.15","24,797,846,860.06","1,288,655,603.93"," 1,921,841,921.93 ","22,365,634,783.48"," 836,117,273.15 ","69,391,662.18","4,170,897,699.74"," 357,586,311.11 "
HAZINA," 2,140,439,760.00 ","580,705,389.70","8,308,276,262.35","172,086,872.15"," 1,901,023,457.27 ","8,448,070,004.03"," 2,648,651,387.03 ","179,400,886.49","1,330,584,488.94"," 116,909,537.98 "
ILKISONKO ," 300,713.00 ","73,939,285.63","181,010,377.08","19,299,061.24"," 69,609,092.28 ","151,083,691.26"," 74,089,998.63 ","18,471,931.87","39,890,752.81"," 48,777,647.42 "
IMARIKA ," 167,418,568.30 ","865,007,409.11","9,003,451,092.34","566,089,884.68"," 3,038,762,547.55 ","6,854,225,581.04"," 865,007,409.11 ","934,409,186.31","1,648,026,586.98"," 502,501,669.71 "
IMARISHA ," 191,525,305.00 ","1,276,787,747.28","13,464,159,161.43","818,048,202.36"," 4,334,754,790.12 ","11,778,313,915.20"," 1,276,787,747.28 ","1,535,938,836.87","2,800,892,222.91"," 90,707,804.48 "
INVEST & GROW (IG)," 1,012,049,201.00 ","2,344,714,504.00","7,941,611,446.00","382,530,380.00"," 3,593,772,022.00 ","6,448,131,536.00"," 2,779,557,254.00 ","404,413,236.52","1,658,260,637.00"," 546,892,613.95 "
JACARANDA," 1,652,157.00 ","5,058,185.00","17,300,540.50","2,617,160.00"," 18,701,197.64 ","73,190,793.40"," 5,058,185.00 ","347,537.70","4,028,631.70"," 449,820.00 "
JAMII," 530,402,110.50 ","371,352,866.30","4,317,904,817.74","183,428,362.53"," 874,185,427.08 ","3,748,605,103.56"," 578,864,700.09 ","462,063,289.95","658,610,430.66"," 2,304,156,081.70 "
JAMII YETU," 39,152,248.00 ","67,517,093.64","633,149,930.93","59,159,192.03"," 276,843,441.05 ","456,528,289.55"," 67,517,093.64 ","45,880,757.88","120,554,453.21"," 66,794,990.70 "
JITEGEMEE ," 7,217,960.39 ","641,730.96","128,796,249.44","47,886,182.38","-56,758,903.32 ","387,688,363.27"," 641,730.96 ","-4,599,501.09","29,418,548.51"," 31,869,264.69 "
JOINAS," 35,793,991.08 ","49,250,348.69","219,430,577.96","23,072,727.67"," 17,216,139.82 ","205,825,529.39"," 81,321,885.05 ","38,104,808.85","43,460,125.74"," 86,070,459.32 "
JUMUIKA ," 22,553,300.24 ","19,385,096.99","101,451,161.92","19,709,428.17","-65,667,742.99 ","180,176,224.47"," 19,385,096.99 ","264,768.63","20,609,902.49"," 21,945,276.76 "
KABIYET, -   ,"4,175,185.00","13,318,933.00","6,860,858.00"," 19,172,574.00 ","20,334,646.00"," 4,175,185.00 ","-486,454.00","8,593,895.00"," 1,345,826.00 "
KENCREAM," 5,739,476.31 ","29,009,816.77","282,666,724.94","25,048,777.44"," 86,918,456.71 ","250,788,521.99"," 34,749,293.08 ","27,033,277.82","56,090,872.09"," 4,758,006.86 "
KENPIPE," 85,157,481.00 ","437,046,451.00","3,139,897,822.00","100,143,309.00"," 667,545,216.00 ","2,572,583,607.00"," 437,046,451.00 ","134,228,798.00","512,768,358.00"," 74,718,315.31 "
KENVERSITY," 152,278,272.20 ","422,516,926.14","2,492,746,231.35","112,781,233.80"," 693,505,429.71 ","2,354,630,406.83"," 574,149,486.14 ","249,165,022.38","432,803,010.97"," 329,948,180.86 "
KENYA ACHIEVAS," 58,635,118.87 ","28,993,165.31","174,987,267.88","81,129,999.47"," 142,758,258.21 ","181,051,116.14"," 61,531,261.68 ","11,401,372.98","108,522,397.11"," 25,552,251.55 "
KENYA BANKERS," 76,980,777.40 ","136,268,767.30","7,026,325,422.67","462,165,063.69"," 1,121,506,068.12 ","6,684,075,888.04"," 136,268,767.30 ","351,826,719.77","982,666,758.03"," 530,763,892.13 "
KENYA HIGHLANDS," 19,794,550.00 ","1,245,000,407.96","2,156,738,310.20","200,066,296.18"," 966,047,599.33 ","2,226,871,907.55"," 1,245,000,407.96 ","117,526,086.99","556,432,017.60"," 123,513,662.54 "
KENYA MIDLAND," 81,964.02 ","1,078,485.67","55,626,268.17","10,195,781.17","-10,766,506.53 ","42,427,824.95"," 1,160,449.69 ","-3,105,948.60","8,220,068.92"," 34,252,898.70 "
KENYA NATIONAL POLICE DT," 1,624,503,602.00 ","4,166,564,142.98","37,680,081,698.75","1,477,190,998.96"," 13,529,817,278.26 ","26,138,001,993.50"," 5,596,885,000.83 ","2,244,748,060.65","7,015,711,644.93"," 807,311,218.18 "
KEYSTONE DT," 229,077,927.00 ","75,078,194.00","561,733,926.00","115,478,538.50"," 145,445,868.88 ","645,135,037.20"," 304,156,121.00 ","19,915,800.69","184,046,105.08"," 14,069,641.40 "
KIMBILIO DAIMA," 7,109,264.00 ","94,936,143.06","498,256,643.76","48,235,131.42"," 132,651,424.93 ","420,192,317.76"," 94,936,143.06 ","434,263.30","93,154,230.52"," 20,846,958.03 "
KIMISITU," 618,841,201.60 ","1,338,126,943.33","6,275,057,867.35","230,712,848.37"," 1,115,066,391.07 ","6,565,025,541.21"," 1,940,557,891.33 ","82,831,625.55","988,765,407.24"," 842,560,456.70 "
KINGDOM," 325,042,412.00 ","65,055,027.00","1,247,135,806.00","69,585,367.00"," 357,425,481.00 ","1,191,987,307.00"," 358,708,249.00 ","48,361,420.00","212,997,899.00"," 120,818,312.50 "
KITUI TEACHERS," 28,803,965.00 ","864,255,620.00","6,458,751,144.00","447,408,179.00"," 1,401,586,677.00 ","5,617,943,269.00"," 888,857,835.00 ","151,689,046.00","1,316,234,206.00"," 33,702,180.97 "
KOLENGE," 4,675,303.00 ","14,090,331.68","87,521,945.39","7,442,154.51"," 52,549,141.10 ","103,508,022.09"," 14,090,331.68 ","4,411,408.96","17,086,630.91"," 2,550,814.95 "
KORU," 7,794,009.40 ","17,199,391.63","32,943,349.53","3,749,313.00"," 16,180,166.42 ","52,005,787.93"," 17,199,391.63 ","3,846,141.35","8,157,133.20"," 4,845,306.83 "
