NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL 
NGARISHA ," 33,125,041.36 ","143,427,086.33","2,596,771,282.76","252,617,325.24"," 770,025,269.91 ","1,518,658,323.31"," 176,552,127.69 ","157,422,946.02","706,150,523.12"," 16,944,537.74 "
NRS ," 32,054,091.48 ","1,508,034.77","393,783,902.58","50,377,101.49"," 56,679,283.59 ","412,750,430.74"," 1,972,968.77 ","21,878,296.22","81,454,288.80"," 19,106,468.56 "
NSSF," 268,157,709.20 ","365,922,310.57","1,915,717,982.57","113,128,971.98"," 208,318,083.63 ","1,658,984,373.92"," 365,922,310.57 ","34,249,973.05","340,638,118.12"," 59,595,047.28 "
NUFAIKA ," 4,829,469.00 ","61,756,934.00","110,872,727.00","12,717,504.84"," 49,598,836.75 ","120,890,330.15"," 61,756,934.00 ","5,314,448.70","24,990,685.81"," 5,570,923.16 "
NYALA VISION," 110,000.00 ","170,621,163.11","495,289,690.26","50,025,218.20"," 195,044,453.88 ","507,517,454.19"," 170,621,163.11 ","49,053,270.87","101,401,816.12"," 20,185,058.83 "
NYAMBENE ARIMI," 5,136,822.91 ","23,087,312.50","206,876,488.71","54,393,378.32"," 89,281,849.47 ","121,528,060.41"," 23,087,312.50 ","1,243,993.82","61,940,173.54"," 65,361,709.24 "
NYATI," 102,083,939.90 ","660,052,104.60","3,229,560,531.87","158,543,651.81"," 1,461,418,485.28 ","2,512,226,915.43"," 672,245,670.72 ","481,224,295.21","657,044,429.69"," 107,490,432.97 "
OLLIN," 189,678,602.00 ","1,385,903,283.77","5,548,230,832.75","366,555,652.00"," 905,295,810.25 ","4,777,276,020.70"," 1,385,903,283.77 ","145,116,751.00","1,017,647,510.00"," 125,480,701.00 "
ORIENT," 31,113,011.00 ","28,376,554.00","174,868,766.00","17,752,514.00","-195,696,281.00 ","425,047,433.00"," 47,689,689.00 ","-11,611,034.69","34,138,154.68"," 66,857,135.28 "
PATNAS ," 130,896,271.00 ","9,508,131.72","173,929,766.30","75,605,361.09","-22,839,296.58 ","153,351,443.05"," 9,623,131.72 ","3,260,966.30","112,468,203.40"," 39,374,184.09 "
PRIME-TIME," 67,438,928.57 ","131,699,086.39","409,379,310.88","42,069,016.61"," 173,037,402.92 ","651,789,411.84"," 189,916,383.96 ","61,129,357.60","115,998,953.38"," 24,844,244.49 "
PUAN ," 12,026,901.00 ","39,363,810.01","213,941,475.10","16,758,724.00"," 32,549,584.00 ","205,674,875.00"," 39,363,810.01 ","2,166,517.00","33,195,817.00"," 14,971,574.00 "
QWETU," 187,004,692.70 ","408,004,882.48","2,142,691,819.72","201,358,410.90"," 369,681,664.89 ","1,931,843,777.22"," 574,841,505.19 ","58,649,227.41","406,359,171.86"," 107,740,876.76 "
RACHUONYO TEACHERS," 6,372,444.00 ","13,081,729.64","117,155,302.91","9,489,544.10"," 36,345,035.80 ","107,612,825.28"," 14,930,373.64 ","18,836,109.75","48,158,320.13"," 84,208,165.00 "
SAFARICOM," 63,522,842.00 ","2,089,061,225.00","6,555,711,037.00","180,195,959.00"," 1,250,363,848.00 ","6,795,226,589.00"," 2,089,061,225.00 ","271,343,665.00","819,472,030.00"," 421,643,485.00 "
SHERIA," 27,140,666.60 ","638,874,445.85","6,580,864,240.09","266,678,414.47"," 1,223,857,235.69 ","5,333,794,408.55"," 638,874,445.85 ","133,002,396.81","907,084,776.32"," 230,938,022.98 "
SHIRIKA DT," 17,370,916.15 ","979,915,441.97","2,926,976,012.00","43,128,533.18"," 585,532,482.96 ","3,120,123,522.89"," 979,915,441.97 ","74,615,130.69","458,466,937.57"," 15,665,711.41 "
SHOPPERS," 40,822,364.08 ","12,458,345.88","841,284,614.20","53,067,173.87"," 108,777.41 ","302,020,870.39"," 12,458,345.88 ","-93,736,292.53","34,036,921.18"," 661,396,102.19 "
SIMBA CHAI," 22,755,306.00 ","177,710,898.00","1,221,616,145.57","39,510,890.24"," 406,646,232.07 ","839,312,188.21"," 177,710,898.00 ","66,428,157.86","228,560,741.63"," 25,809,191.00 "
SIRAJI," 101,856.00 ","68,374,033.70","366,677,667.04","43,104,384.20"," 111,599,763.72 ","395,922,003.27"," 68,374,033.70 ","26,934,307.37","77,618,459.32"," 91,267,140.01 "
SKYLINE," 26,442,504.40 ","322,331,926.51","1,364,797,010.25","136,194,894.34"," 459,873,828.19 ","1,491,004,789.99"," 322,331,926.51 ","103,397,439.20","280,417,075.20"," 134,061,867.62 "
SMART CHAMPION," 3,319,506.00 ","25,982,671.28","353,648,665.40","43,205,130.68"," 101,791,166.59 ","218,203,164.36"," 25,982,671.28 ","33,885.12","70,648,809.73"," 35,769,405.15 "
SMARTLIFE DT," 82,528,081.00 ","172,602,165.00","1,089,345,186.00","44,883,772.00"," 174,010,427.00 ","875,506,217.00"," 206,721,457.00 ","8,317,428.00","160,514,795.00"," 19,082,933.00 "
SOLUTION," 190,853,790.80 ","493,623,931.61","5,991,466,131.11","504,686,878.20"," 1,371,244,574.36 ","4,909,888,222.98"," 684,477,722.37 ","717,471,027.19","1,353,388,862.09"," 170,801,498.44 "
SOTICO," 5,151,497.80 ","26,939,956.51","181,539,412.00","15,781,138.75"," 35,787,931.00 ","161,519,694.00"," 32,091,454.31 ","551,911.15","36,726,267.95"," 3,688,086.43 "
SOUTHERN STAR," 141,012,459.30 ","246,269,714.14","1,036,798,461.73","135,322,832.93"," 177,334,694.61 ","1,016,363,201.88"," 302,262,032.97 ","2,850,913.99","209,430,215.39"," 377,724,058.94 "
STAKE KENYA," 4,578,215.99 ","18,232,382.12","115,697,109.35","18,385,706.51"," 46,622,660.14 ","166,184,951.39"," 19,422,832.47 ","8,528,589.60","31,723,893.57"," 25,820,278.03 "
STAWISHA," 12,070,429.00 ","27,896,812.81","241,568,635.55","24,230,654.80"," 84,719,604.88 ","209,178,175.30"," 39,967,241.81 ","17,212,153.18","51,389,050.97"," 6,999,756.00 "
