NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
MWALIMU NATIONAL ," 254,726,467.18 "," 1,067,944,889.15 "," 25,037,799,416.53 "," 37,073,845,820.70 "," 1,523,984,299.38 "," 5,587,952,015.96 "," 25,776,178,772.27 "," 1,067,944,889.15 "," 262,587,885.01 "," 4,666,487,112.61 "," 261,102.66 ",
MWIETHERI," 2,021,710.00 "," 28,294,640.30 "," 49,935,231.44 "," 85,925,143.46 "," 7,844,597.29 "," 22,515,469.48 "," 58,238,441.94 "," 28,294,640.30 "," 4,038,573.91 "," 15,347,649.00 "," 16,796,906.81 ",
MWITO," 14,528,922.00 "," 79,650,001.51 "," 1,130,384,856.85 "," 1,276,136,018.36 "," 48,912,760.84 "," 178,160,795.03 "," 976,279,372.98 "," 79,650,001.51 "," 33,828,633.08 "," 153,250,496.34 "," 58,413,220.70 ",
NACICO," 140,687,426.96 "," 349,403,206.95 "," 1,889,332,595.67 "," 3,161,311,880.43 "," 196,737,052.65 "," 799,802,043.79 "," 1,910,277,851.86 "," 349,403,206.95 "," 113,730,794.20 "," 533,867,002.97 "," 6,709,324.88 ",
NAFASI DT," 3,306,378.00 "," 47,698,224.57 "," 346,712,152.00 "," 402,539,346.77 "," 32,072,737.80 "," 77,321,442.54 "," 285,177,665.41 "," 47,698,224.57 "," 14,693,224.76 "," 72,358,212.45 "," 5,113,912.84 ",
NANDI FARMERS," 7,050,000.00 "," 7,451,805.99 "," 81,806,156.84 "," 127,693,978.58 "," 8,469,534.17 "," 29,709,082.92 "," 71,873,808.51 "," 7,451,805.99 "," 4,145,636.30 "," 16,445,920.99 "," 934,570.27 ",
NANDI HEKIMA," 17,617,264.00 "," 6,572,527.58 "," 174,808,061.53 "," 232,234,749.47 "," 11,288,638.41 "," 27,373,737.80 "," 93,612,911.69 "," 6,572,527.58 "," 239,779.00 "," 13,610,468.63 "," 802,036.00 ",
NANYUKI EQUATOR," 1,914,100.00 "," 8,833,845.00 "," 94,859,144.00 "," 120,560,348.70 "," 14,577,366.87 "," 34,844,084.00 "," 33,091,205.37 "," 8,833,845.00 "," 1,313,260.16 "," 17,506,841.89 "," 122,323,660.37 ",
NATION DT," 1,019,837.00 "," 113,235,701.92 "," 1,313,399,460.17 "," 1,410,074,872.48 "," 38,616,193.34 "," 218,083,134.00 "," 1,097,391,628.47 "," 113,235,701.92 "," 53,754,262.59 "," 177,728,508.93 "," 124,468,685.14 ",
NAWIRI," 105,959,377.00 "," 351,760,507.00 "," 569,029,666.00 "," 1,333,729,876.00 "," 122,768,252.00 "," 213,789,392.00 "," 672,504,596.00 "," 351,760,507.00 "," 64,141,835.00 "," 215,368,624.00 "," 76,761,948.14 ",
NDEGE CHAI ," 214,544,409.74 "," 47,738,546.95 "," 2,076,073,795.01 "," 2,453,980,123.67 "," 142,852,911.62 "," 278,154,927.61 "," 1,630,439,037.81 "," 208,022,519.34 "," 921,445.04 "," 424,885,883.40 "," 9,832,869.49 ",
NDOSHA," 10,276,735.00 "," 4,187,100.92 "," 140,246,872.96 "," 201,244,546.88 "," 14,564,596.70 "," 41,928,310.43 "," 132,335,072.35 "," 4,187,100.92 "," 4,472,085.44 "," 26,145,428.83 "," 41,491,265.33 ",
NEWFORTIS," 455,336,911.00 "," 547,163,752.00 "," 3,771,134,718.00 "," 5,108,449,512.00 "," 193,617,427.00 "," 1,002,442,892.91 "," 3,321,565,401.00 "," 548,411,528.00 "," 125,064,635.00 "," 705,501,704.00 "," 216,984.30 ",
