NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
UNAITAS," 549,992,798.00 "," 2,001,095,174.00 "," 7,864,536,914.00 "," 10,813,049,085.00 "," 482,846,295.00 "," 3,287,096,987.00 "," 6,455,106,158.00 "," 2,001,095,174.00 "," 862,469,083.00 "," 1,623,957,025.00 "," 635,559,269.00 ",
UNI-COUNTY," 544,214.00 "," 20,338,547.73 "," 65,436,704.54 "," 88,190,058.75 "," 9,409,519.70 "," 17,920,321.65 "," 64,644,294.31 "," 20,338,547.73 "," 2,159,690.41 "," 13,049,511.90 "," 1,270,332.94 ",
UNISON," 64,690,649.80 "," 108,186,597.35 "," 1,756,442,485.46 "," 2,195,069,758.59 "," 162,056,174.74 "," 155,800,456.41 "," 1,571,019,196.27 "," 172,877,247.15 "," 5,664,204.13 "," 351,328,015.76 "," 22,317,620.92 ",
UNITED NATIONS," 4,430,562.00 "," 3,438,864,304.96 "," 7,443,574,173.10 "," 10,947,994,522.94 "," 212,411,725.18 "," 1,603,960,773.91 "," 8,311,359,188.20 "," 3,438,864,304.96 "," 240,733,682.47 "," 1,296,751,258.89 "," 59,367,367.77 ",
UNIVERSAL TRADERS," 3,901,607.28 "," 81,057,776.29 "," 675,440,793.97 "," 759,097,374.14 "," 78,728,000.05 "," 112,172,810.59 "," 465,688,018.15 "," 83,335,439.57 "," 14,707,111.33 "," 126,867,122.48 "," 64,498,818.00 ",
VIHIGA COUNTY," 555,000.00 "," 16,175,611.00 "," 14,516,434.00 "," 40,141,344.00 "," 10,614,973.00 "," 13,969,915.00 "," 22,961,404.00 "," 16,175,611.00 "," 1,202,508.00 "," 12,999,624.00 "," 1,390,000.00 ",
VIKTAS," 29,266,602.50 "," 5,457,407.33 "," 111,971,045.82 "," 152,634,446.25 "," 10,522,121.50 ","-36,541,410.11 "," 107,769,477.78 "," 16,724,009.83 "," 9,325,746.60 "," 21,399,136.00 "," 4,512,091.90 ",
VISION AFRICA," 59,000.00 "," 27,040,307.00 "," 151,636,090.10 "," 217,337,450.96 "," 22,945,833.57 "," 39,283,099.28 "," 158,998,791.89 "," 27,040,307.00 ","-5,085,010.94 "," 31,688,909.32 "," 23,077,330.42 ",
VISION POINT," 18,941,575.80 "," 220,820,014.55 "," 182,634,459.04 "," 449,634,378.04 "," 101,829,542.74 "," 97,982,944.40 "," 326,589,727.62 "," 239,761,590.35 ","-33,569,365.57 "," 85,879,866.11 "," 37,694,111.39 ",
WAKENYA PAMOJA," 136,420,365.66 "," 239,037,078.60 "," 657,391,841.63 "," 1,314,250,659.52 "," 222,635,223.76 "," 190,187,534.10 "," 597,158,555.19 "," 239,037,078.60 "," 13,767,422.92 "," 350,952,250.28 "," 93,027,343.99 ",
WAKULIMA COMMERCIAL," 93,665,624.78 "," 8,849,122.50 "," 205,399,211.33 "," 311,249,085.00 "," 25,052,204.30 "," 88,011,987.85 "," 206,768,413.12 "," 95,014,877.28 "," 25,720,775.44 "," 52,862,905.49 "," 18,876,472.17 ",
WANAANGA," 5,430,160.00 "," 176,528,460.00 "," 785,041,690.00 "," 1,210,689,480.00 "," 53,346,320.00 "," 115,126,070.00 "," 1,068,134,640.00 "," 176,528,460.00 "," 1,383,710.00 "," 181,218,130.00 "," 32,364,200.74 ",
WANANCHI," 217,219,409.15 "," 182,594,216.10 "," 791,835,969.47 "," 1,226,308,443.41 "," 138,278,251.37 ","-24,472,645.24 "," 829,794,368.32 "," 182,594,216.10 "," 10,340,344.22 "," 204,741,616.63 "," 165,034,360.80 ",
WANANDEGE," 17,221,606.00 "," 67,730,538.23 "," 733,536,760.78 "," 1,199,040,637.50 "," 94,967,414.60 "," 159,904,895.70 "," 1,002,502,504.73 "," 67,730,538.23 "," 39,761,302.44 "," 167,189,471.17 "," 72,835,814.41 ",
WASHA," 8,092,910.52 "," 33,429,545.14 "," 105,840,546.78 "," 155,861,344.30 "," 10,613,945.49 "," 25,048,431.87 "," 122,969,554.42 "," 40,126,712.56 "," 9,240,817.20 "," 22,541,524.81 "," 4,408,084.81 ",
WAUMINI," 2,031,589.80 "," 175,549,488.59 "," 2,934,541,454.52 "," 3,205,981,780.17 "," 103,038,458.11 "," 598,238,154.85 "," 2,500,406,858.08 "," 175,549,488.59 "," 244,366,279.14 "," 386,674,432.97 "," 198,110,758.81 ",
WEVARSITY," 6,777,324.28 "," 14,388,728.22 "," 235,886,212.63 "," 276,057,042.54 "," 19,262,382.46 "," 31,251,636.48 "," 190,733,606.44 "," 14,388,728.22 "," 3,163,401.82 "," 48,233,193.08 "," 9,478,627.25 ",
WINAS," 18,488,921.02 "," 164,171,923.80 "," 3,237,855,564.26 "," 3,417,560,521.70 "," 139,244,407.63 "," 812,369,359.46 "," 2,344,242,197.96 "," 182,660,844.82 "," 49,983,234.53 "," 611,005,876.88 "," 52,166,525.42 ",
YETU," 31,082,077.00 "," 801,447,298.76 "," 1,490,839,582.83 "," 2,415,328,923.29 "," 121,174,018.93 "," 594,401,879.85 "," 1,561,654,213.02 "," 801,447,298.76 "," 110,935,160.10 "," 345,603,252.29 "," 70,809,061.47 ",
,,,,,,,,,,,,
