NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
2NK," 7,985,909.78 "," 173,647,851.29 "," 445,860,886.12 "," 893,646,826.71 "," 22,372,834.60 "," 237,519,740.30 "," 586,573,140.08 "," 175,340,083.07 "," 88,299,770.63 "," 57,963,335.38 "," 27,458,793.40 "
AFYA," 204,497,606.00 "," 524,576,327.00 "," 13,446,950,801.00 "," 16,146,536,059.00 "," 859,413,099.00 "," 1,418,916,219.00 "," 12,290,904,209.00 "," 524,576,327.00 "," 132,001,421.00 "," 2,177,155,190.00 "," 797,127,544.50 "
AGROCHEM," 2,306,279.00 "," 33,019,522.21 "," 94,864,671.21 "," 132,090,485.93 "," 7,266,613.25 "," 30,043,554.00 "," 88,581,207.92 "," 33,019,522.21 "," 2,125,418.80 "," 21,109,341.60 "," 2,814,128.00 "
AINABKOI RURAL," 1,923,590.00 ","-550,566.00 "," 18,210,530.00 "," 94,550,792.00 "," 3,136,391.00 "," 23,850,242.00 "," 66,129,774.00 ","-550,566.00 ","-993,690.00 "," 1,728,261.00 "," 11,321,454.89 "
AIRPORTS," 3,054,228.00 "," 46,787,895.21 "," 486,321,253.43 "," 637,003,824.63 "," 37,282,326.91 "," 80,683,701.29 "," 525,720,775.68 "," 46,787,895.21 "," 14,007,718.03 "," 82,212,274.37 "," 14,648,980.00 "
AMICA," 222,206,456.00 "," 203,383,546.38 "," 2,448,631,726.30 "," 3,398,564,199.04 "," 333,716,644.17 "," 215,891,924.89 "," 2,386,747,286.43 "," 219,543,926.38 "," 22,833,596.81 "," 492,902,645.66 "," 233,331,704.57 "
AMMAR," 523,536.00 "," 18,579,796.02 "," 65,292,187.97 "," 88,282,837.91 "," 8,267,349.38 "," 25,404,566.52 "," 57,126,777.76 "," 19,029,332.02 "," 4,339,137.25 "," 12,930,548.28 "," 1,542,220.31 "
ARDHI," 11,991,229.00 "," 3,514,296.39 "," 1,470,516,160.79 "," 1,668,636,773.13 "," 91,469,795.34 "," 267,071,863.76 "," 1,376,633,153.11 "," 15,505,525.39 "," 68,272,839.73 "," 182,751,440.57 "," 8,876,019.38 "
ASILI ," 269,893,680.77 "," 59,029,178.07 "," 1,404,026,150.00 "," 2,279,948,151.12 "," 54,686,046.20 "," 200,783,376.62 "," 1,538,902,581.47 "," 64,275,006.07 "," 176,947,803.61 "," 267,953,070.80 "," 80,067,886.00 "
AZIMA ," 78,635,504.00 "," 116,496,993.00 "," 962,292,003.00 "," 1,329,653,084.00 "," 50,780,516.40 "," 268,547,054.00 "," 859,801,808.93 "," 119,446,299.00 "," 84,333,728.93 "," 195,426,225.15 "," 5,605,994.94 "
BANDARI ," 1,155,824,106.93 "," 493,211,344.48 "," 5,819,794,211.25 "," 7,970,105,628.94 "," 276,753,135.27 "," 1,283,339,357.10 "," 4,829,982,763.61 "," 1,038,452,150.41 "," 299,215,199.82 "," 1,115,456,392.00 "," 190,006,366.16 "
BARAKA," 264,500.00 "," 46,263,799.05 "," 175,474,752.00 "," 289,610,279.39 "," 43,511,437.10 "," 98,076,048.23 "," 188,644,950.17 "," 46,263,799.05 "," 4,206,180.77 "," 52,184,602.26 "," 642,252.00 "
BARATON ," 153,984.00 "," 18,323,154.75 "," 93,942,279.16 "," 126,029,867.46 "," 6,705,326.17 "," 29,813,663.99 "," 75,873,292.68 "," 18,323,154.75 "," 6,805,013.82 "," 19,218,140.08 ", -   
BIASHARA," 33,457,111.49 "," 114,340,749.00 "," 980,881,938.00 "," 1,232,794,998.00 "," 103,668,099.00 "," 307,361,528.37 "," 834,526,755.26 "," 120,365,612.86 "," 92,667,340.00 "," 232,009,036.00 "," 31,920,164.00 "
BIASHARA TOSHA," 7,676,333.00 "," 5,271,069.21 "," 51,146,487.85 "," 64,901,704.42 "," 4,753,752.73 "," 13,697,737.92 "," 33,159,581.86 "," 5,271,069.21 "," 3,986,030.63 "," 9,602,537.36 "," 511,606.48 "
BI-HIGH," 7,704,043.75 "," 18,259,441.39 "," 317,991,738.52 "," 564,433,836.63 "," 12,995,201.00 "," 103,467,656.97 "," 458,297,551.00 "," 25,963,485.14 "," 35,242,163.58 "," 48,498,418.68 "," 16,661,782.96 "
BINGWA," 41,601,300.80 "," 1,504,310,590.60 "," 2,965,056,681.80 "," 4,631,270,169.00 "," 243,418,249.49 "," 1,742,821,180.80 "," 2,622,656,944.00 "," 1,545,911,891.40 "," 248,544,734.36 "," 709,993,972.79 "," 315,222,656.65 "
BORESHA SACCO," 63,102,390.00 "," 445,634,332.00 "," 4,575,954,017.00 "," 5,789,881,582.00 "," 413,870,757.00 "," 963,272,706.00 "," 3,402,220,932.00 "," 508,736,722.00 "," 140,019,176.00 "," 907,820,583.00 "," 144,754,549.00 "
CAPITAL," 8,164,310.00 "," 681,407,220.99 "," 2,052,335,380.33 "," 2,732,119,764.49 "," 294,185,905.35 "," 338,198,934.54 "," 2,450,521,123.28 "," 681,407,220.99 "," 68,429,242.58 "," 608,348,282.67 "," 492,854,913.01 "
CENTENARY ," 118,000.00 "," 129,726,167.79 "," 531,738,655.12 "," 678,112,770.40 "," 39,930,292.74 "," 99,252,139.41 "," 538,630,201.96 "," 129,736,167.79 "," 3,029,349.11 "," 88,620,259.37 "," 66,633,159.00 "
CHAI," 150,700,026.00 "," 182,677,289.00 "," 2,739,950,917.00 "," 3,201,822,487.00 "," 203,881,345.00 "," 371,711,768.00 "," 2,185,855,512.00 "," 182,677,289.00 "," 24,800,208.91 "," 444,390,040.91 "," 139,858,675.87 "
CHUNA," 15,900,265.00 ","-344,841.00 "," 1,260,282,056.00 "," 2,112,288,779.00 "," 63,329,564.00 "," 261,509,415.00 "," 1,560,794,829.00 ","-344,841.00 "," 50,787,375.00 "," 179,772,611.00 "," 84,799,062.00 "
