NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
2NK," 6,493,678.00 "," 125,857,899.78 "," 473,038,898.97 "," 729,175,549.16 "," 25,650,964.69 "," 230,163,111.13 "," 447,238,213.71 "," 125,857,899.78 "," 54,346,343.79 "," 64,103,298.50 "," 68,419,882.68 "
AFYA," 211,217,410.00 "," 1,766,148,284.00 "," 14,354,151,636.00 "," 18,094,957,673.00 "," 905,282,424.00 "," 1,569,390,706.00 "," 13,555,351,961.00 "," 1,766,148,284.00 "," 79,875,421.00 "," 2,289,259,337.00 "," 884,575,302.82 "
AGROCHEM," 3,106,279.00 "," 32,859,142.11 "," 103,670,074.22 "," 141,907,402.92 "," 7,572,272.63 "," 35,564,760.50 "," 89,216,147.56 "," 33,659,142.11 "," 3,061,286.47 "," 22,902,001.50 "," 802,876.00 "
AINABKOI RURAL," 1,923,590.00 "," 9,319,480.00 "," 16,191,552.00 "," 89,475,634.16 "," 3,205,448.99 "," 21,945,601.85 "," 54,163,832.23 "," 9,319,480.00 ","-394,802.98 "," 5,880,290.78 "," 13,466,119.36 "
AIRPORTS," 3,289,315.00 "," 26,979,168.26 "," 581,770,702.10 "," 706,366,940.45 "," 36,748,783.13 "," 145,082,583.20 "," 555,480,758.28 "," 26,979,168.26 "," 58,583,544.97 "," 101,958,307.82 "," 12,785,800.85 "
AMICA," 343,639,020.00 "," 302,789,340.60 "," 2,645,643,160.19 "," 3,183,903,545.22 "," 362,391,653.60 ","-219,971,932.73 "," 2,608,061,366.48 "," 338,949,720.60 "," 98,740,456.47 "," 666,077,419.57 "," 794,015,629.94 "
AMMAR," 633,536.00 "," 18,543,208.00 "," 103,503,430.76 "," 122,768,105.97 "," 9,376,970.12 "," 34,120,052.71 "," 87,541,363.89 "," 19,102,744.00 "," 6,971,663.14 "," 17,743,061.10 "," 5,151,965.43 "
ARDHI," 12,010,156.00 "," 23,544,139.82 "," 1,545,654,992.27 "," 1,767,768,850.65 "," 103,513,046.58 "," 238,307,279.45 "," 1,452,919,248.56 "," 35,554,295.82 "," 79,813,170.41 "," 215,777,904.38 "," 21,008,385.96 "
ASILI ," 236,500,857.64 "," 39,828,454.83 "," 1,576,353,034.61 "," 2,494,759,615.41 "," 64,961,362.26 "," 243,579,627.11 "," 1,668,706,384.14 "," 43,082,282.83 "," 159,664,369.17 "," 272,210,982.79 "," 92,341,612.97 "
AZIMA ," 75,686,199.00 "," 119,851,155.79 "," 1,129,127,481.60 "," 1,479,485,112.79 "," 58,334,751.20 "," 397,592,906.80 "," 919,934,131.00 "," 119,851,155.79 "," 124,906,760.23 "," 211,582,182.05 "," 38,495,102.40 "
BANDARI ," 1,465,811,418.80 "," 368,471,158.50 "," 6,338,563,944.14 "," 8,687,555,096.33 "," 375,117,389.87 "," 1,540,691,873.83 "," 5,406,992,335.06 "," 1,218,175,537.30 "," 193,818,753.79 "," 1,077,077,096.62 "," 224,257,247.25 "
BARAKA," 264,500.00 "," 61,709,440.03 "," 193,536,746.10 "," 320,461,583.30 "," 40,797,086.10 "," 103,670,532.81 "," 214,205,580.00 "," 61,709,440.03 "," 5,414,068.44 "," 54,891,524.08 "," 539,653.69 "
BARATON ," 153,984.00 "," 19,397,673.62 "," 112,606,981.01 "," 141,971,079.53 "," 7,911,653.60 "," 30,379,443.12 "," 94,470,526.38 "," 19,397,673.62 "," 6,482,671.66 "," 22,323,886.79 "," 696,257.77 "
BIASHARA," 41,562,509.64 "," 252,171,904.00 "," 1,146,533,250.25 "," 1,512,032,953.33 "," 117,567,506.00 "," 379,899,706.06 "," 1,030,808,760.70 "," 259,940,112.70 "," 94,512,806.00 "," 286,851,180.00 "," 104,972,468.00 "
BIASHARA TOSHA," 9,476,333.00 "," 7,316,560.86 "," 59,695,116.17 "," 76,895,691.68 "," 6,815,744.61 "," 22,465,056.54 "," 40,267,349.14 "," 16,187,393.86 "," 4,481,398.96 "," 12,591,215.06 "," 396,616.15 "
BI-HIGH," 9,892,800.36 "," 25,956,407.85 "," 309,266,253.74 "," 557,800,256.13 "," 15,304,056.70 "," 116,072,244.70 "," 425,365,523.20 "," 35,849,208.21 "," 39,781,338.76 "," 57,765,471.95 "," 18,344,771.85 "
BINGWA," 38,052,286.80 "," 1,850,556,331.80 "," 3,135,502,079.30 "," 5,139,083,839.60 "," 265,178,229.89 "," 2,076,585,394.30 "," 2,775,172,112.60 "," 1,888,608,618.60 "," 305,757,212.97 "," 815,632,707.11 "," 425,254,691.13 "
BORESHA SACCO," 213,671,597.00 "," 237,323,303.00 "," 5,407,836,517.00 "," 6,512,060,794.00 "," 477,769,767.00 "," 1,020,922,842.00 "," 4,021,608,532.00 "," 386,692,510.00 "," 346,201,809.00 "," 1,061,753,972.00 "," 891,775,224.00 "
CAPITAL," 8,173,010.00 "," 520,665,078.26 "," 2,700,554,045.00 "," 3,059,471,543.13 "," 322,640,306.81 "," 290,813,774.90 "," 2,769,174,709.39 "," 520,665,078.26 ","-41,571,906.94 "," 550,596,585.54 "," 950,308,408.14 "
CENTENARY ," 118,000.00 "," 140,648,144.08 "," 752,269,125.79 "," 878,751,499.85 "," 48,345,788.85 "," 127,637,034.14 "," 696,002,019.13 "," 140,658,144.08 "," 15,157,917.51 "," 121,766,634.97 "," 84,193,423.70 "
CHAI," 168,292,576.00 "," 262,973,524.99 "," 3,098,754,914.22 "," 3,610,906,904.75 "," 239,552,540.00 "," 569,984,828.00 "," 2,560,834,045.00 "," 369,330,112.99 "," 33,519,204.08 "," 508,249,164.38 "," 134,924,228.39 "
CHUNA," 15,900,265.00 "," 78,798,736.00 "," 1,001,769,641.00 "," 1,948,111,492.00 "," 47,980,806.00 "," 231,924,360.00 "," 1,549,376,631.00 "," 78,798,736.00 "," 62,578,755.00 "," 158,966,890.00 "," 693,024,846.00 "
COMOCO," 5,124,583.00 "," 6,161,879.00 "," 475,764,424.00 "," 702,310,483.00 "," 78,261,171.00 "," 79,070,212.00 "," 467,614,537.00 "," 6,161,879.00 ","-22,892,558.00 "," 77,608,706.00 "," 107,625,481.14 "
COSMOPOLITAN," 345,342,224.07 "," 649,837,385.91 "," 4,303,871,092.21 "," 5,354,006,126.82 "," 152,291,434.09 "," 312,564,072.14 "," 4,288,449,938.44 "," 649,837,385.91 "," 128,198,224.71 "," 698,127,139.82 "," 217,615,683.50 "
DAIMA," 73,671,924.25 "," 447,424,262.17 "," 418,411,804.35 "," 981,383,545.23 "," 41,694,546.05 "," 105,700,378.92 "," 711,358,302.60 "," 447,424,262.17 "," 22,408,860.74 "," 91,433,099.02 "," 38,926,646.64 "
DHABITI ," 11,003,780.90 "," 13,336,043.34 "," 381,723,710.71 "," 643,926,885.17 "," 99,139,945.57 "," 97,085,869.31 "," 364,330,250.23 "," 13,336,043.34 "," 23,466,872.04 "," 176,687,926.78 ", -   
DIMKES DT," 16,157,602.39 "," 224,057,937.70 "," 1,374,256,513.69 "," 1,478,436,325.62 "," 72,312,897.78 "," 114,304,528.32 "," 1,354,524,884.59 "," 240,040,165.09 "," 9,785,632.95 "," 130,043,891.12 "," 277,802,155.56 "
DUMISHA," 5,746,916.00 "," 9,083,811.82 "," 193,978,631.12 "," 267,885,933.47 "," 135,783,779.35 "," 59,035,743.74 "," 158,452,565.82 "," 9,083,811.82 ","-106,374,961.87 "," 213,566,300.89 "," 21,251,072.80 "
ECO-PILLAR," 34,116,047.27 "," 113,087,358.20 "," 318,448,428.84 "," 998,257,043.82 "," 12,052,620.45 "," 134,948,010.69 "," 656,431,988.86 "," 113,087,358.20 "," 28,624,341.34 "," 52,916,363.45 "," 14,872,585.89 "
EDIS," 2,733,847.00 "," 7,003,974.80 "," 143,886,852.30 "," 151,517,637.10 "," 60,197,497.63 "," 41,365,339.50 "," 93,822,360.38 "," 7,003,974.80 "," 5,503,970.98 "," 112,068,579.97 "," 17,972,105.60 "
EGERTON UNIVERSITY," 176,733,751.48 "," 116,472,387.64 "," 1,749,256,372.64 "," 2,381,779,132.50 "," 10,868,865.00 "," 137,733,391.58 "," 1,605,910,571.82 "," 116,472,387.64 "," 10,356,877.00 "," 21,374,470.00 "," 93,576,893.95 "
ELIMU," 155,807,144.00 "," 99,046,614.00 "," 677,453,319.00 "," 1,109,619,692.00 "," 127,914,029.59 "," 112,191,763.00 "," 829,274,439.00 "," 104,673,566.00 "," 133,614,083.25 "," 344,966,331.16 "," 66,453,232.66 "
ENEA ," 1,091,007.00 "," 63,413,860.69 "," 95,135,554.88 "," 165,515,084.24 "," 120,277,679.69 "," 45,019,544.80 "," 114,146,092.83 "," 63,413,860.69 "," 53,380,433.75 "," 189,675,417.11 "," 28,993,792.15 "
FARIDI," 133,918,423.77 "," 70,082,539.51 "," 777,256,966.36 "," 1,006,811,241.05 "," 17,572,508.36 "," 126,486,046.24 "," 631,676,755.20 "," 70,082,539.51 "," 7,019,860.81 "," 26,658,478.09 "," 2,438,453.98 "
FARIJI," 26,961,245.40 "," 44,717,748.65 "," 171,584,307.04 "," 255,405,690.07 "," 44,917,627.24 "," 75,950,230.56 "," 185,349,189.19 "," 69,504,994.05 "," 166,052,862.84 "," 215,919,826.27 "," 21,863,698.82 "
FORTITUDE," 9,493,190.00 "," 15,063,901.48 "," 112,127,487.00 "," 157,923,816.75 "," 34,141,650.11 "," 19,783,050.90 "," 116,914,939.47 "," 15,063,901.48 "," 11,627,228.72 "," 56,696,321.35 "," 9,324,117.98 "
FORTUNE," 33,567,869.60 "," 503,171,393.00 "," 2,548,532,250.00 "," 2,975,872,461.60 "," 13,429,517.65 "," 963,509,950.40 "," 1,689,466,163.00 "," 503,171,393.00 "," 4,818,965.39 "," 24,509,998.64 "," 235,324,312.00 "
FUNDILIMA," 59,702,662.15 ","-23,631,844.58 "," 656,865,895.88 "," 898,711,980.86 "," 319,355,069.00 "," 114,738,072.45 "," 743,999,556.86 "," 15,190,715.57 "," 136,799,932.00 "," 546,657,691.00 "," 21,862,697.27 "
GITHUNGURI DAIRY ," 9,638,197.10 "," 101,400,645.00 "," 1,576,394,020.40 "," 1,833,949,655.94 "," 37,692,952.00 "," 469,417,903.24 "," 1,313,146,983.58 "," 101,400,645.00 "," 7,558,688.86 "," 134,022,970.06 "," 64,382,594.08 "
