NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
2NK," 25,416.71 "," 143,574.49 "," 219,772.55 "," 508,511.28 "," 16,846.51 "," 94,073.14 "," 379,461.96 "," 168,991.20 "," 34,309.63 "," 31,124.86 ",6581119.88
AFYA," 897,497,157.00 "," 938,712,260.00 "," 10,051,159,681.00 "," 12,682,638,713.00 "," 699,870,626.00 "," 229,319,061.00 "," 10,301,559,959.00 "," 1,011,712,260.00 "," 63,098,733.00 "," 1,547,343,950.00 ",3266259141
AGROCHEM," 2,046,516.80 "," 18,326,979.96 "," 69,896,874.94 "," 91,631,547.31 "," 6,260,071.35 "," 16,922,323.20 "," 63,327,616.57 "," 18,326,979.96 "," 1,146,209.35 "," 14,121,419.20 ",1118536.35
AINABKOI RURAL," 1,465,000.00 "," 14,286,879.00 "," 47,231,598.00 "," 97,633,870.00 "," 28,323,835.00 "," 19,027,136.00 "," 67,236,494.00 "," 14,286,879.00 "," 6,012,990.00 "," 34,336,825.00 ",20903762.67
AIRPORTS," 3,054,228.00 "," 52,029,165.00 "," 364,170,986.00 "," 504,314,531.00 "," 37,617,135.00 "," 48,292,647.00 "," 354,874,723.00 "," 52,029,165.00 "," 5,426,714.00 "," 69,589,682.00 ",1853026
AMICA," 23,307,440.00 "," 111,978,513.77 "," 1,225,076,635.04 "," 1,692,570,810.42 "," 271,105,148.93 "," 216,368,263.46 "," 1,228,204,518.24 "," 113,128,513.77 ","-94,779,873.95 "," 248,525,230.14 ",65295382.65
AMMAR," 74,000.00 "," 14,844,272.00 "," 33,456,272.00 "," 51,060,029.00 "," 3,839,403.00 "," 12,758,062.00 "," 37,335,286.00 "," 14,898,272.00 "," 2,039,909.00 "," 6,859,746.00 ",754451
ARDHI," 10,023,841.00 "," 14,667,863.89 "," 1,223,073,335.62 "," 1,335,026,596.80 "," 101,321,760.60 "," 233,059,804.64 "," 1,157,205,841.60 "," 24,691,704.89 "," 50,282,976.59 "," 139,294,906.47 ",31299520.07
ASILI ," 77,134,183.13 "," 117,110,585.77 "," 1,028,415,997.01 "," 1,669,256,774.62 "," 75,275,384.37 "," 73,278,789.78 "," 1,239,937,165.32 "," 117,110,585.77 "," 67,206,938.47 "," 195,260,548.62 ",109729163.7
AZIMA ," 22,829,657.00 "," 54,974,282.03 "," 622,913,141.45 "," 877,641,853.47 "," 31,794,036.54 "," 190,644,323.39 "," 624,982,002.34 "," 54,974,282.03 "," 97,395,840.66 "," 130,914,419.57 ",4460878
BANDARI ," 284,361,929.50 "," 232,075,408.40 "," 4,588,283,932.14 "," 5,214,898,345.96 "," 132,086,316.85 "," 1,257,263,104.29 "," 3,323,658,765.28 "," 515,267,337.90 "," 130,096,562.23 "," 780,650,576.17 ",206193346.9
BARAKA," 264,500.00 "," 70,743,410.37 "," 127,290,289.01 "," 269,153,710.00 "," 34,307,860.60 "," 73,779,323.67 "," 146,514,932.17 "," 70,743,410.37 "," 561,628.66 "," 38,347,750.94 ",1713846.89
BARATON ," 250,514.00 "," 15,384,745.19 "," 66,064,224.00 "," 87,230,757.23 "," 5,999,458.84 "," 11,434,143.79 "," 57,550,933.74 "," 15,384,745.19 "," 2,509,973.93 "," 13,960,005.99 ",142245
BIASHARA," 14,556,117.00 "," 49,547,254.00 "," 478,131,406.00 "," 624,301,615.00 "," 59,900,404.00 "," 154,220,182.00 "," 431,432,653.00 "," 56,367,056.00 "," 37,004,711.00 "," 119,083,800.00 ",8558392
BIASHARA TOSHA," 2,880,500.00 "," 3,938,958.16 "," 21,898,564.99 "," 83,304,565.22 "," 3,090,261.00 "," 12,377,607.25 "," 57,814,636.12 "," 3,938,958.16 "," 1,162,488.75 "," 4,703,804.94 ",1284538.27
BI-HIGH," 5,297,760.09 "," 78,476,192.07 "," 259,988,803.12 "," 401,889,402.19 "," 7,697.80 "," 68,126,847.47 "," 315,190,421.18 "," 83,773,952.16 "," 24,940.10 "," 32,778.43 ",35599443
BINGWA," 36,509,364.60 "," 395,901,976.82 "," 2,185,725,108.65 "," 2,824,337,590.55 "," 203,479,902.89 "," 976,916,963.51 "," 1,665,497,871.05 "," 432,411,341.42 "," 176,052,175.21 "," 515,762,204.71 ",85521925.91
