YEAR,NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL ,
2014,DHABITI ," 14,861,730.00 "," 45,669,586.79 "," 258,689,097.80 "," 35,486,780.43 "," 24,357,508.71 "," 146,202,321.59 "," 45,669,586.79 ","-57,739,862.31 "," 75,188,493.85 ",72629732.27,
2014,DIMKES DT," 26,275,260.29 "," 26,637,556.26 "," 623,656,198.03 "," 47,569,875.70 "," 60,840,947.00 "," 618,553,090.86 "," 52,747,886.55 "," 6,583,791.87 "," 70,408,615.74 ",12942508.73,
2014,DUMISHA," 4,345,600.00 "," 7,847,276.17 "," 130,351,731.54 "," 12,046,539.80 "," 34,332,858.41 "," 127,109,654.61 "," 7,847,276.17 "," 5,664,963.52 "," 31,868,486.60 ",19118718.2,
2014,ECO-PILLAR, -   ," 41,474,781.79 "," 245,803,938.11 "," 26,704,004.49 "," 62,679,414.58 "," 441,198,154.56 "," 41,474,781.79 "," 12,071,449.68 "," 66,196,505.22 ",58951259.09,
2014,EDIS," 1,309,914.10 "," 2,565,782.00 "," 72,078,867.18 "," 3,694,416.00 "," 15,003,868.65 "," 57,418,413.61 "," 2,565,782.00 "," 5,697,474.71 "," 9,601,330.38 ",58053477.22,
2014,EGERTON UNIVERSITY," 31,573,060.00 "," 129,055,650.08 "," 1,313,827,510.78 "," 91,383,422.13 "," 158,668,684.75 "," 1,169,818,882.55 "," 160,628,710.08 "," 1,418,400.03 "," 240,417,702.47 ",13841846.31,
2014,ELIMU," 199,966,700.00 "," 44,331,179.00 "," 624,341,453.00 "," 84,049,410.00 "," 61,401,062.00 "," 625,345,501.00 "," 49,534,956.00 "," 40,558,830.00 "," 138,922,908.00 ",81206762.56,
2014,ENEA ," 1,096,214.00 "," 73,652,278.94 "," 40,005,187.52 "," 17,724,596.22 "," 33,307,869.53 "," 94,960,907.00 "," 74,748,492.94 "," 3,518,215.92 "," 23,833,173.84 ",19467700.73,
2014,FARIDI," 182,782,442.93 "," 35,711,139.52 "," 333,826,582.21 "," 65,172,418.95 "," 2,530,494.43 "," 402,801,951.62 "," 35,711,139.52 ", -   ," 120,915,338.60 ",689550.43,
2014,FARIJI," 5,453,794.16 "," 14,061,762.03 "," 86,358,778.74 "," 18,042,004.70 "," 10,690,208.92 "," 65,524,900.26 "," 17,587,356.19 "," 1,381,895.80 "," 26,175,284.82 ",16972910.98,
2014,FORTITUDE," 7,917,735.00 "," 10,425,804.94 "," 81,517,948.59 "," 8,520,743.25 "," 9,303,819.90 "," 90,378,802.93 "," 10,425,804.94 "," 4,632,408.11 "," 13,320,961.66 ",32526248.9,
2014,FORTUNE," 27,892,262.00 "," 318,598,703.00 "," 1,393,959,424.00 "," 187,254,286.00 "," 193,257,919.00 "," 975,764,257.00 "," 320,228,957.00 "," 64,627,264.00 "," 298,679,486.00 ",353326031,
